"AGENCY","YEAR","ORI","STATE","COUNTY","POP","COMPSTAT","COMPSTATDATE","HASCOMPSTAT","YEAR.UNFOUNDED.MURDER","YEAR.UNFOUNDED.RAPE.TOT","YEAR.UNFOUND.AUTO.THFT","YEAR.ACT.NUM.MURDER","YEAR.ACT.NUM.RAPE.TOT","YEAR.ACT.NUM.ASSAULT.TOT","YEAR.ACT.VHC.THFT.TOT","YEAR.ACT.ALL.FIELDS","YEAR.TOT.CLR.MURDER","YEAR.TOT.CLR.RAPE.TOT","YEAR.TOT.CLR.ASSAULT.TOT","YEAR.TOT.CLR.VHC.THFT.TOT","YEAR.TOT.CLR.ALL.FIELDS","SHAREPT2","clearrate","unfoundrapepct","murderclearrate","rapeclearrate","assaultclearrate","unfoundmurderpct","unfoundassaultpct","PART1arrests","PART2arrests","popblackpct","popwhitepct","unfoundautopct","yearssincecompstat","FIPS_PLACE_ID","cdcHomicide","cdcSuicide","cdcUndetermined","cdcUnintentional","haselection","years_since_election","partisantotal","incidentsperpop","autoclearrate","YEAR.ACT.NUM.KILLINGS"
"DENVER",1992,"CODPD00","Colorado",16,492672,1,2006,0,3,49,281,95,437,5487,8084,42696,36,226,2943,1322,7613,0.692682659656041,0.17830710136781,0.10082304526749,0.36734693877551,0.517162471395881,0.536358665937671,0.0306122448979592,0.0332980972515856,16833,37941,0.131259350790161,0.827347818098486,0.0410438908659549,-14,820000,75,98,NA,211,0,1,0,0.0895139159521954,0.163532904502721,95
"ATLANTA",1992,"GAAPD00","Georgia",60,410876,1,2003,0,11,243,819,198,627,19300,8451,81368,149,492,13058,1240,26631,0.734661370647418,0.327290826860682,0.279310344827586,0.712918660287081,0.784688995215311,0.676580310880829,0.0526315789473684,0.00387096774193548,26320,72874,0.489782639487258,0.492302675841881,0.0889391979301423,-11,1304000,190,96,NA,230,0,3,0,0.203319249603287,0.146728197846409,198
"HONOLULU",1992,"HI00200","Hawaii",2,875297,1,2005,0,1,5,415,31,326,8661,3507,61207,21,217,4677,542,13086,0.745070957494562,0.213799075269169,0.0151057401812689,0.65625,0.665644171779141,0.540006927606512,0.03125,0.00195897672274718,14766,43156,0.0357192876050831,0.312860911223797,0.118844221105528,-13,1517000,27,92,14,178,1,0,0,0.0711621312537345,0.154548046763616,31
"CHICAGO",1992,"ILCPD00","Illinois",16,2832901,1,2011,0,24,0,4412,939,0,145387,44988,398526,187,0,90747,5795,136916,0.634994195015151,0.343556003874277,NA,0.194184839044652,NA,0.624175476486894,0.0249221183800623,0.00809153118241422,112866,196351,0.263086991731859,0.692802027139686,0.0963361722641813,-19,1714000,1103,471,82,1409,0,1,0,0.143589557135954,0.128812127678492,960
"INDIANAPOLIS",1992,"INIPD00","Indiana",49,493928,1,1996,0,3,44,445,88,541,9102,5212,40933,55,319,4121,421,8871,0.767020350243493,0.21672000586324,0.0752136752136752,0.604395604395604,0.589648798521257,0.452757635684465,0.032967032967033,0.1720938693833,7224,23783,0.220519073120219,0.766280811524791,0.0833626450932114,-4,1836003,103,110,31,246,0,1,1,0.105489059134125,0.080775134305449,89
"BOSTON",1992,"MA01301","Massachusetts",13,572822,1,2007,0,1,10,527,73,537,16072,11411,66174,40,269,6154,3361,18124,0.641807547938429,0.273884002780548,0.0182815356489945,0.540540540540541,0.500931098696462,0.382901941264311,0.0135135135135135,0.00421313506815366,12310,22057,0.249544197811226,0.689240606628479,0.0474163118791218,-15,2507000,82,53,60,118,0,1,0,0.118258376947813,0.294540355797038,73
"BALTIMORE",1992,"MDBPD00","Maryland",0,755517,1,1999,0,14,57,289,335,749,27242,11300,108904,237,437,15108,2226,30739,0.689284485724114,0.282257768309704,0.0707196029776675,0.679083094555874,0.583444592790387,0.554584832244329,0.0401146131805158,0.0024534036398257,28904,64120,0.603772836615716,0.380344270657402,0.0286254620476231,-7,2404000,322,77,123,236,0,1,1,0.14512049364872,0.196991150442478,335
"DETROIT",1992,"MI82349","Michigan",82,1044128,1,2013,0,40,33,178,595,1225,16421,27344,121249,326,323,5677,2854,15180,0.735638087289614,0.125196908840485,0.0262321144674086,0.513385826771654,0.263673469387755,0.345715851653371,0.062992125984252,0.000304395470595398,24707,68752,0.195738624471514,0.801079994976768,0.00733318812168736,-21,2622000,701,241,241,616,0,3,0,0.116402395108646,0.104373902867174,610
"MINNEAPOLIS",1992,"MN02711",NA,NA,364459,1,1998,0,0,0,67,60,600,13019,5169,52453,43,184,6410,231,11382,NA,0.216994261529369,0,0.716666666666667,0.306666666666667,0.492357323911207,0,0.00830286410725168,NA,NA,0.0660235608674787,0.886067247118688,0.0137378362907842,-6,2743000,69,128,15,324,0,3,1,0.145327732337519,0.0446894950667441,60
"ST. PAUL",1992,"MN06209",NA,NA,268189,1,1998,0,0,11,180,33,237,6194,2386,26078,23,194,4296,486,7173,NA,0.275059437073395,0.0443548387096774,0.696969696969697,0.818565400843882,0.693574426864708,0,0.0149491094147583,NA,NA,0.0541039272293736,0.875758112130404,0.078408651989185,-6,2758000,24,61,NA,127,0,3,0,0.0994895390936988,0.203688181056161,33
"KANSAS CITY",1992,"MOKPD00",NA,NA,434258,1,2005,0,2,13,157,150,564,19877,8042,67524,92,209,11046,591,17378,NA,0.257360345951069,0.0225303292894281,0.605263157894737,0.370567375886525,0.555717663631333,0.0131578947368421,0.00290945573112616,NA,NA,0.220605243774389,0.762185585105549,0.0297985281698637,-13,2938000,137,99,12,209,0,1,1,0.156632693007383,0.0734891817955732,150
"ST. LOUIS",1992,"MOSPD00","Missouri",0,402573,1,2007,0,7,22,396,231,349,18020,8429,69870,186,222,11637,1238,21083,0.595888282047866,0.301746099899814,0.0592991913746631,0.781512605042017,0.636103151862464,0.645782463928968,0.0294117647058824,0.00276701715550636,18202,26840,0.485865874254221,0.499703102387262,0.0485382097302179,-15,2965000,196,53,NA,201,0,3,1,0.175304851542453,0.146873887768419,233
"OMAHA",1992,"NB02802",NA,NA,366130,1,2003,0,0,42,199,11,166,4121,1787,19174,9,137,3411,577,7935,NA,0.413841660582038,0.201923076923077,0.818181818181818,0.825301204819277,0.8277117204562,0,0.00507001448575567,NA,NA,0.111613767230036,0.870206620439932,0.117966436327739,-11,3137000,28,51,NA,115,0,3,0,0.0537923688307432,0.322887520984891,11
"CHARLOTTE",1992,"NC06001","North Carolina",60,408951,1,2007,0,3,11,300,99,361,15101,2454,60656,83,147,10008,708,18029,0.680533920610195,0.297233579530467,0.0295698924731183,0.813725490196078,0.407202216066482,0.66273756704854,0.0294117647058824,0.00303690499768931,11895,25339,0.271765172404253,0.704991838579083,0.128551136363636,-15,3712000,105,54,NA,138,0,1,1,0.15018425190304,0.288508557457213,103
"RALEIGH",1992,"NC09201","North Carolina",92,214674,1,2001,0,1,11,28,19,120,2825,948,17917,16,75,1886,247,5734,0.669836851465244,0.320031255232461,0.083969465648855,0.8,0.625,0.667610619469027,0.05,0.00563181978176698,4270,8663,0.209734941215583,0.76494868506837,0.0326530612244898,-9,3755000,22,41,NA,99,0,1,0,0.0843418392539385,0.260548523206751,19
"NEWARK",1992,"NJNPD00","New Jersey",7,277544,1,1997,0,8,11,5,87,313,8746,13930,45408,61,186,4735,260,8293,0.779986073231591,0.182633016208598,0.0339506172839506,0.642105263157895,0.594249201277955,0.541390349874228,0.0842105263157895,0.000913867946081791,7583,26883,0.421627248979696,0.545249120207446,0.00035880875493362,-5,3451000,120,50,NA,205,0,2,0,0.163829879226357,0.018664752333094,87
"ALBUQUERQUE",1992,"NM00101","New Mexico",1,401529,1,1997,0,3,11,97,42,294,11531,2905,45176,33,127,9333,285,15408,0.673473654864789,0.341066052771383,0.0360655737704918,0.733333333333333,0.431972789115646,0.809383401266152,0.0666666666666667,0.00448933782267116,9370,19326,0.0318068045785969,0.911174427922714,0.0490998363338789,-5,3502000,59,106,12,217,0,3,0,0.113169908026568,0.0981067125645439,45
"LAS VEGAS",1992,"NV00201","Nevada",2,678385,1,2010,0,4,8,66,99,393,7091,7400,55045,56,68,1302,718,8663,0.691725483759187,0.157380325188482,0.0199501246882793,0.543689320388349,0.173027989821883,0.183613030602172,0.0388349514563107,0.000141003948110547,16903,37928,0.0986531864789114,0.850428701229476,0.0120160213618158,-18,3240000,114,197,32,248,0,1,0,0.0814493244986254,0.097027027027027,99
"NEW YORK",1992,"NY03030","New York",0,7375097,1,1994,0,51,329,1711,1995,2815,63529,126959,626183,1181,1389,29534,7420,90104,0.834629366508211,0.143894037366074,0.104643765903308,0.5772238514174,0.493428063943162,0.464890050213288,0.0249266862170088,0.00575926882326244,148162,747777,0.31382993329873,0.599716325765815,0.0135429130860437,-2,3651000,1983,606,81,2057,0,3,1,0.0853168439682895,0.0584440646192865,1996
"TULSA",1992,"OK07205","Oklahoma",72,375053,1,2009,0,0,20,348,33,368,6888,4788,34411,28,185,4130,445,9449,0.683037974683544,0.274592426840255,0.0515463917525773,0.848484848484849,0.502717391304348,0.599593495934959,0,0.0254668930390492,6886,14839,0.103588208119521,0.829951637111568,0.0866081648225868,-17,4075000,43,66,NA,159,1,0,1,0.0940640389491618,0.0929406850459482,36
"PORTLAND",1992,"OR02602","Oregon",26,458132,1,1998,0,9,21,156,46,490,10802,7901,57248,27,150,4281,743,10612,0.665556942710501,0.18536892118502,0.0410958904109589,0.490909090909091,0.306122448979592,0.396315497130161,0.163636363636364,0.000647608474419465,12055,23990,0.0628072649628976,0.872606134096031,0.0252899087095978,-6,4159000,49,110,12,214,1,0,0,0.125588258405874,0.0940387292747753,46
"PHILADELPHIA",1992,"PAPEP00","Pennsylvania",51,1603638,1,1998,0,25,36,215,425,817,14851,22416,106066,340,577,11690,3272,32968,0.679702270782335,0.310825335168669,0.0422039859320047,0.755555555555556,0.7062423500612,0.78715238031109,0.0555555555555556,0.00255221975955403,32188,68306,0.417269771394589,0.547512466703097,0.0102874299086052,-6,4260000,426,206,23,716,0,1,1,0.0664146147696675,0.145967166309779,425
"PITTSBURGH",1992,"PAPPD00","Pennsylvania",2,373842,1,1997,0,1,66,381,44,221,13943,8124,43397,35,157,8179,860,12704,0.652230024672613,0.29273912943291,0.229965156794425,0.777777777777778,0.710407239819005,0.586602596284874,0.0222222222222222,0.00114621391217136,9162,17183,0.116562596249289,0.870389635764725,0.0473733583489681,-5,4261000,83,165,21,341,0,3,1,0.117576409285206,0.105859182668636,45
