"AGENCY","YEAR","ORI","STATE","COUNTY","POP","COMPSTAT","COMPSTATDATE","HASCOMPSTAT","YEAR.UNFOUNDED.MURDER","YEAR.UNFOUNDED.RAPE.TOT","YEAR.UNFOUND.AUTO.THFT","YEAR.ACT.NUM.MURDER","YEAR.ACT.NUM.RAPE.TOT","YEAR.ACT.NUM.ASSAULT.TOT","YEAR.ACT.VHC.THFT.TOT","YEAR.ACT.ALL.FIELDS","YEAR.TOT.CLR.MURDER","YEAR.TOT.CLR.RAPE.TOT","YEAR.TOT.CLR.ASSAULT.TOT","YEAR.TOT.CLR.VHC.THFT.TOT","YEAR.TOT.CLR.ALL.FIELDS","SHAREPT2","clearrate","unfoundrapepct","murderclearrate","rapeclearrate","assaultclearrate","unfoundmurderpct","unfoundassaultpct","PART1arrests","PART2arrests","popblackpct","popwhitepct","unfoundautopct","yearssincecompstat","FIPS_PLACE_ID","cdcHomicide","cdcSuicide","cdcUndetermined","cdcUnintentional","haselection","years_since_election","partisantotal","incidentsperpop","autoclearrate","YEAR.ACT.NUM.KILLINGS"
"LONG BEACH",2008,"CA01941","California",19,467055,1,2003,1,3,8,15,40,120,4482,2872,19120,14,76,2999,215,5500,0.824481524370986,0.28765690376569,0.0625,0.325581395348837,0.633333333333333,0.669120928157073,0.0697674418604651,0.00532623169107856,6669,31327,0.0977588752294678,0.748094820847766,0.00691562932226833,5,643000,842,810,57,2201.7511,0,2,0,0.0410893791951697,0.0748607242339833,40
"LONG BEACH",2009,"CA01941","California",19,463969,1,2003,1,4,11,23,40,131,4859,2361,19054,20,86,3437,188,5915,0.829368312421922,0.3104335047759,0.0774647887323944,0.454545454545455,0.656488549618321,0.707347190779996,0.0909090909090909,0.00511875511875512,6283,30539,0.0970287160882206,0.748246557522443,0.0113065326633166,6,643000,734,787,76,2225.448,0,3,0,0.0412613773765058,0.0796272765777213,40
"LONG BEACH",2010,"CA01941","California",19,462257,1,2003,1,2,5,25,32,134,4479,2189,17489,19,82,3517,187,5950,0.823696092168768,0.3402138487049,0.0359712230215827,0.558823529411765,0.611940298507463,0.785219915159634,0.0588235294117647,0.00731382978723404,5662,26453,0.0964757191615179,0.748406291176146,0.0126296797474064,7,643000,657,809,69,2047.2061,1,0,0,0.0380480987848751,0.085427135678392,32
"LONG BEACH",2011,"CA01941","California",19,467691,1,2003,1,4,5,46,25,112,4873,2212,19146,22,89,3212,172,5428,0.80247273788249,0.283505693095163,0.0427350427350427,0.758620689655172,0.794642857142857,0.659142212189616,0.137931034482759,0.00388389206868356,5416,22003,0.098065267127989,0.731534901144792,0.0268367795864496,8,643000,597,778,45,2034.8425,0,1,0,0.0411874506885957,0.0777576853526221,25
"LONG BEACH",2013,"CA01941","California",19,469665,1,2003,1,0,6,38,34,103,4321,2355,18575,23,40,2882,169,4643,0.800625187342097,0.249959623149394,0.055045871559633,0.676470588235294,0.388349514563107,0.666975237213608,0,0.0103069170865781,4656,18697,0.0974675241036026,0.728893340408465,0.0207900207900208,10,643000,584,798,50,2327.4477,0,2,0,0.0398134840790776,0.0717622080679405,34
"LOS ANGELES",1990,"CA01942","California",19,3485398,1,2002,0,63,114,335,983,2014,75647,63613,352473,668,1168,53532,7759,106174,0.761490754309728,0.301225909502288,0.0535714285714286,0.638623326959847,0.579940417080437,0.707655293666636,0.0602294455066922,0.00586124873510047,75030,239549,0.117145033591994,0.763227886147992,0.00686931135153701,-12,644000,1872,955,22,2745,0,1,0,0.101771447622338,0.121971923977803,987
"LOS ANGELES",1991,"CA01942","California",19,3558316,1,2002,0,52,107,625,1027,1966,79437,68655,378566,702,1102,53767,7110,104022,0.723027516172432,0.274779034567288,0.0516160154365654,0.650602409638554,0.560528992878942,0.676850837770812,0.0481927710843374,0.00594403844228652,60113,156923,0.116709366487393,0.760536536984005,0.0116036336937274,-11,644000,2007,973,38,2506,0,2,0,0.10715462033164,0.103561284684291,1036
"LOS ANGELES",1993,"CA01942","California",19,3525317,1,2002,0,41,129,635,1076,1773,73485,59764,343838,645,1029,50991,5525,94810,0.706528264517089,0.275740319569099,0.0678233438485804,0.577439570277529,0.580372250423012,0.693896713615023,0.0367054610564011,0.00557532782115647,57195,137696,0.114834367179738,0.756110634990004,0.0133069176159815,-9,644000,1988,1075,68,2483,1,0,0,0.0981993959692136,0.0924469580349374,1077
"LOS ANGELES",1994,"CA01942","California",19,3550381,1,2002,0,36,102,513,845,1554,71244,50923,309714,497,910,48139,4184,83760,0.743901146861897,0.270443053914256,0.0615942028985507,0.564131668558456,0.585585585585586,0.675691988097243,0.0408626560726447,0.00563867798124163,50757,147436,0.113857495013526,0.754492773570104,0.012584348095866,-8,644000,1761,911,60,2424,0,1,0,0.0878843707196495,0.0821632661076527,850
"LOS ANGELES",1995,"CA01942","California",19,3466211,1,2002,0,29,65,353,849,1590,71381,46212,298643,482,861,49561,4045,84145,0.745481674619463,0.281757817862799,0.0392749244712991,0.548974943052392,0.541509433962264,0.694316414732212,0.0330296127562642,0.0060986646987566,49979,146388,0.11286261492582,0.752866839806074,0.00962259702963931,-7,644000,3440,1918,80,4700,0,2,0,0.0867044735591688,0.087531377131481,852
"LOS ANGELES",1996,"CA01942","California",19,3498139,1,2002,0,32,74,247,711,1463,67829,41486,267616,408,779,47988,3497,77910,0.788469862568986,0.291126091115628,0.048145738451529,0.549125168236878,0.532467532467532,0.707484999041708,0.0430686406460296,0.00605199144222033,46914,174870,0.111776082546788,0.752005195111406,0.00777307407141661,-6,644000,2864,1722,86,4576,0,3,0,0.0770089467571186,0.0842934966012631,715
"LOS ANGELES",1997,"CA01942","California",19,3541309,1,2002,0,19,58,123,576,1413,64791,35218,235304,341,658,41430,2877,62555,0.805967768976925,0.265847584401455,0.0394289598912305,0.573109243697479,0.465675866949752,0.639440663055054,0.0319327731092437,0.00602908689248895,47450,197097,0.110452919436166,0.751379617397984,0.00488824842474075,-5,644000,2472,1562,98,4094,1,0,0,0.0668501393128925,0.0816911806462604,576
"LOS ANGELES",1998,"CA01942","California",19,3621680,1,2002,0,16,95,123,426,1395,60632,28441,212794,247,685,37164,2314,57365,0.815016789008407,0.269579969360038,0.063758389261745,0.558823529411765,0.491039426523298,0.612943660113471,0.0361990950226244,0.00809789454741767,44403,195635,0.109026606177275,0.751110662065934,0.00587227795448985,-4,644000,2004,1634,130,3982,0,1,0,0.0591805460449294,0.0813614148588306,427
"LOS ANGELES",1999,"CA01942","California",19,3650138,1,2002,0,15,80,216,425,1288,59419,24677,196198,204,649,36045,2596,57755,0.807998886644048,0.294370992568732,0.0584795321637427,0.463636363636364,0.50388198757764,0.60662414379239,0.0340909090909091,0.00635462131473771,40009,168370,0.107591798069149,0.750701207656011,0.0111796762301651,-3,644000,900,739,53,2126.5392,0,2,0,0.0541716504965018,0.105199173319285,425
"LOS ANGELES",2000,"CA01942","California",19,3694820,1,2002,0,18,23,45,550,1459,62284,29640,210117,202,737,35502,3149,53665,0.763485637666959,0.255405321796904,0.0155195681511471,0.355633802816901,0.50514050719671,0.570001926658532,0.0316901408450704,0.00187496995240461,36690,118438,0.10600800662328,0.750372454700747,0.00205380290225918,-2,644000,1000,689,41,2016.2971,0,3,0,0.0569727348016953,0.106241565452092,550
"LOS ANGELES",2001,"CA01942","California",19,3763486,1,2002,0,13,15,25,588,1409,64090,31819,220288,239,683,37642,3384,57307,0.741893153316468,0.260145809122603,0.0105337078651685,0.397670549084859,0.484740951029099,0.587330316742081,0.021630615640599,0.00116886152887088,38158,109680,0.104952297712927,0.75040467275847,0.00122418230899617,-1,644000,1082,743,24,1987.4487,1,0,0,0.058606834195743,0.106351550960118,588
"LOS ANGELES",2002,"CA01942","California",19,3830561,1,2002,1,18,12,1,654,1415,61935,34110,220499,346,628,33713,2606,52423,0.755701760329571,0.237747109964218,0.00840925017519271,0.514880952380952,0.443816254416961,0.544328731734883,0.0267857142857143,0.000258268631660506,36055,111531,0.103933427153947,0.750119676849867,8.79430129276229e-05,0,644000,1155,734,60,2305.8114,0,1,0,0.0575816440463943,0.0763998827323366,655
"LOS ANGELES",2003,"CA01942","California",19,3838838,1,2002,1,12,95,21,515,1226,60458,33555,214559,292,802,40735,3575,64095,0.781362756577218,0.298729020921984,0.0719152157456472,0.554079696394687,0.65415986949429,0.673773528730689,0.0227703984819734,0.00117299145863966,36599,130797,0.102894966887106,0.749828738747387,0.00110145272683972,1,644000,1067,728,73,2412.9626,0,2,0,0.0559950693412955,0.106541499031441,517
"LOS ANGELES",2004,"CA01942","California",19,3864018,1,2002,1,7,26,86,518,1131,54654,29973,195685,291,703,35509,2303,54443,0.809067872810005,0.278217543501035,0.0224719101123595,0.554285714285714,0.62157382847038,0.649705419548432,0.0133333333333333,0.00224546798838929,35037,148468,0.101941477840367,0.749615761178253,0.00491351548753361,2,644000,1069,697,70,2345.9931,0,3,0,0.0507896184748622,0.07683581890368,519
"LOS ANGELES",2005,"CA01942","California",19,3871077,1,2002,1,4,48,275,489,1105,43560,28721,176236,279,603,27450,2626,45465,0.824625114651991,0.257977938673143,0.0416305290546401,0.565922920892495,0.545701357466063,0.630165289256198,0.00811359026369168,0.00577454180266131,32887,154637,0.100962264351128,0.749109188296293,0.0138712446351931,3,644000,1070,698,65,2341.8719,1,0,0,0.0458198067359549,0.0914313568469064,489
"LOS ANGELES",2006,"CA01942","California",19,3879455,1,2002,1,13,50,351,480,1059,50133,25389,171484,273,593,25765,1986,40778,0.835829131094524,0.237794779687901,0.0450856627592426,0.553752535496957,0.559962228517469,0.513932938383899,0.026369168356998,0.00375581256706808,32133,163596,0.0999267420443572,0.748516006202172,0.019313221831666,4,644000,1050,671,67,2428.4171,0,1,0,0.0445147578719176,0.0782228524164008,480
"LOS ANGELES",2007,"CA01942","California",19,3870487,1,2002,1,23,123,444,395,1004,48036,23524,164375,235,690,27546,2423,44728,0.830469681316061,0.272109505703422,0.109139307897072,0.562200956937799,0.687250996015936,0.573444916312765,0.0550239234449761,0.00936275520725923,31998,156747,0.0989087340747831,0.748010581449281,0.027089623226767,5,644000,875,687,75,2425.3262,0,2,0,0.0430736493883069,0.103001190273763,397
"LOS ANGELES",2008,"CA01942","California",19,3850920,1,2002,1,23,92,491,384,949,45496,22623,161073,218,577,26713,1341,41454,0.816446784326809,0.257361568978041,0.0883765609990394,0.535626535626536,0.608008429926238,0.587150518726921,0.0565110565110565,0.00878014771563651,32459,144378,0.0977588752294678,0.748094820847766,0.0311763950152028,6,644000,842,810,57,2201.7511,0,3,0,0.042438170618969,0.0592759580957433,385
"LOS ANGELES",2009,"CA01942","California",19,3848776,1,2002,1,16,109,463,312,903,45258,18391,152932,182,514,21682,878,33818,0.788527304310064,0.221130960165302,0.107707509881423,0.554878048780488,0.56921373200443,0.479075522559547,0.0487804878048781,0.0075870537672134,31166,116210,0.0970287160882206,0.748246557522443,0.0364141255370429,7,644000,734,787,76,2225.448,1,0,0,0.0404905351727406,0.0477407427546082,314
"LOS ANGELES",2010,"CA01942","California",19,3792621,1,2002,1,17,60,403,293,923,42106,17046,143954,111,384,15439,485,24162,0.78431461352657,0.167845283910138,0.0610376398779247,0.358064516129032,0.416034669555796,0.366669833277918,0.0548387096774194,0.00547971089801124,28574,103906,0.0964757191615179,0.748406291176146,0.033125354509359,8,644000,657,809,69,2047.2061,0,1,0,0.0384169681072799,0.0284524228558019,297
"LOS ANGELES",2011,"CA01942","California",19,3837207,1,2002,1,30,52,503,297,828,40444,15597,137976,116,478,17449,564,26989,0.763283607106939,0.195606482286775,0.0590909090909091,0.35474006116208,0.577294685990338,0.43143605973692,0.0917431192660551,0.00655842401316597,28245,91075,0.098065267127989,0.731534901144792,0.0423650764413336,9,644000,597,778,45,2034.8425,0,2,0,0.0364700158214034,0.0361608001538757,297
"LOS ANGELES",2013,"CA01942","California",19,3878725,1,2002,1,16,12,600,251,764,38092,14382,132836,271,505,20678,911,31395,0.7788343018137,0.236344063356319,0.0154639175257732,1.01498127340824,0.660994764397906,0.542843641709545,0.0599250936329588,0.00545677658546774,25120,88460,0.0974675241036026,0.728893340408465,0.0560514570753479,11,644000,584,798,50,2327.4477,1,0,0,0.0347915874417495,0.0633430677235433,251
"SANTA ANA",1990,"CA03019","California",30,293742,1,2002,0,3,14,154,43,73,2024,3918,23321,15,46,1358,585,5832,0.807068570421294,0.250075039663822,0.160919540229885,0.326086956521739,0.63013698630137,0.670948616600791,0.0652173913043478,0.01171875,4378,18314,0.0185697643558086,0.869219168692998,0.0476421973748177,-12,669000,172,242,NA,577,1,0,0,0.0804481483751047,0.149310872894334,43
"SANTA ANA",1991,"CA03019","California",30,299860,1,2002,0,5,16,117,59,76,2376,4346,24103,20,50,1456,534,4810,0.791654157910537,0.199560220719413,0.173913043478261,0.3125,0.657894736842105,0.612794612794613,0.078125,0.00668896321070234,4164,15822,0.0188906796657223,0.863609398819501,0.0348656451254719,-11,669000,175,218,NA,526,0,1,0,0.0812245714666845,0.122871606074551,59
"SANTA ANA",1993,"CA03019","California",30,290970,1,2002,0,6,14,98,78,77,2480,3958,20402,22,50,1556,337,4037,0.828191634152981,0.197872757572787,0.153846153846154,0.261904761904762,0.649350649350649,0.62741935483871,0.0714285714285714,0.00918897323212145,3787,18255,0.0194279563727795,0.852162112326313,0.0308521057786484,-9,669000,223,263,12,623,0,1,0,0.0709007801491563,0.085144012127337,78
"SANTA ANA",1994,"CA03019","California",30,293021,1,2002,0,4,3,70,74,80,2885,3726,19380,34,44,1760,302,4207,0.785914646363454,0.217079463364293,0.036144578313253,0.435897435897436,0.55,0.610051993067591,0.0512820512820513,0.00722642807983482,4274,15690,0.0196945451938538,0.846690503658733,0.0263914293180037,-8,669000,177,256,NA,545,1,0,0,0.0668211493374195,0.0810520665593129,74
"SANTA ANA",1995,"CA03019","California",30,292289,1,2002,0,4,6,55,72,66,2706,3099,16755,19,42,1781,295,3947,0.802010153325471,0.235571471202626,0.0833333333333333,0.25,0.636363636363636,0.658167036215817,0.0526315789473684,0.00733675715333822,3861,15640,0.0199022306137702,0.841466187447142,0.0230138713745271,-7,669000,338,414,NA,810,0,1,0,0.0578708059489067,0.0951919974185221,72
"SANTA ANA",1996,"CA03019","California",30,294963,1,2002,0,5,2,53,46,62,2479,2659,14748,21,34,1585,179,3438,0.810320045994634,0.233116354759967,0.03125,0.411764705882353,0.548387096774194,0.63937071399758,0.0980392156862745,0.00601443464314354,3959,16913,0.0201437521085508,0.837022824542851,0.0267203513909224,-6,669000,242,418,28,1258,1,0,0,0.0505182005878703,0.0673185408048138,47
"SANTA ANA",1997,"CA03019","California",30,298570,1,2002,0,0,12,62,27,91,2622,2681,13752,14,47,1754,197,3587,0.838907269963337,0.260834787667248,0.116504854368932,0.518518518518518,0.516483516483517,0.668954996186117,0,0.00681818181818182,3603,18763,0.0203271943031296,0.832695217211086,0.032479249368459,-5,669000,234,504,36,1176,0,1,0,0.0466523763271595,0.0734800447594181,27
"SANTA ANA",1998,"CA03019","California",30,312556,1,2002,0,5,3,59,21,68,2552,2456,13282,19,37,1704,213,3234,0.836935166994106,0.243487426592381,0.0422535211267606,0.730769230769231,0.544117647058823,0.667711598746082,0.192307692307692,0.0073901205756515,3403,17466,0.0204850953073125,0.828743968581996,0.0315457413249211,-4,669000,184,490,34,1100,1,0,0,0.0429651006539628,0.0867263843648208,23
"SANTA ANA",1999,"CA03019","California",30,310437,1,2002,0,1,2,45,15,97,2586,2287,12902,25,34,1775,205,3323,0.817035720058186,0.257556967911952,0.0202020202020202,1.5625,0.350515463917526,0.686388244392885,0.0625,0.0114678899082569,3396,15165,0.0205370653350062,0.82465456386924,0.0358347386172007,-3,669000,98,209,29,671.7556,0,1,0,0.0421180464957463,0.0896370791429821,15
"SANTA ANA",2000,"CA03019","California",30,337977,1,2002,0,1,5,44,17,86,2688,2052,12304,19,48,1854,164,3151,0.830083266183186,0.256095578673602,0.0549450549450549,1.05555555555556,0.558139534883721,0.689732142857143,0.0555555555555556,0.0103092783505155,3163,15452,0.0206537193465117,0.820781229595122,0.0307038261691072,-2,669000,59,217,10,524.4227,1,0,0,0.036822032268468,0.0799220272904483,18
"SANTA ANA",2001,"CA03019","California",30,344258,1,2002,0,1,9,80,24,55,2540,2563,13783,13,23,1735,260,3199,0.801399878271455,0.23209751142712,0.140625,0.52,0.418181818181818,0.683070866141732,0.04,0.0120575651497472,3263,13167,0.0209739286618669,0.817400310791494,0.0425849831901382,-1,669000,75,161,0,433.7563,0,1,0,0.0406119828733101,0.101443620756925,24
"SANTA ANA",2002,"CA03019","California",30,350393,1,2002,1,1,6,51,23,66,2746,2398,13814,10,28,1651,216,3052,0.798786903509315,0.220935283046185,0.0833333333333333,0.416666666666667,0.424242424242424,0.601238164603059,0.0416666666666667,0.00723065798987708,3251,12906,0.0213310059571597,0.813780653936943,0.031502423263328,0,669000,95,240,21,661.4526,1,0,0,0.039789607669103,0.0900750625521268,23
"SANTA ANA",2003,"CA03019","California",30,347016,1,2002,1,2,8,64,17,76,2590,2686,13151,12,31,1489,181,2761,0.822046495035377,0.209946011710136,0.0952380952380952,0.631578947368421,0.407894736842105,0.574903474903475,0.105263157894737,0.00575815738963532,2993,13826,0.0217315701497124,0.809957801489203,0.0282199710564399,1,669000,74,243,27,708.8464,0,1,0,0.0382518385319409,0.0673864482501862,18
"SANTA ANA",2004,"CA03019","California",30,346461,1,2002,1,2,3,45,25,73,2750,3226,13320,15,33,1537,272,2875,0.82742427799953,0.215840840840841,0.0394736842105263,0.555555555555556,0.452054794520548,0.558909090909091,0.0740740740740741,0.00757849151930711,2940,14096,0.0222302949370886,0.805864511657688,0.0230163537250151,2,669000,93,255,32,684.1192,1,0,0,0.0387864723590823,0.0843149411035338,26
"SANTA ANA",2005,"CA03019","California",30,344991,1,2002,1,1,3,52,17,74,2554,3583,13581,11,27,1391,308,2832,0.832953682611997,0.208526618069362,0.038961038961039,0.611111111111111,0.364864864864865,0.544635865309319,0.0555555555555556,0.00777000777000777,2860,14261,0.0227145158388911,0.801672345070203,0.023971669844729,3,669000,79,238,38,691.3313,0,1,0,0.0397807479035685,0.0859614847892827,17
"SANTA ANA",2006,"CA03019","California",30,343433,1,2002,1,2,6,47,26,73,2359,2600,11875,22,29,1253,259,2698,0.831292080795127,0.2272,0.0759493670886076,0.785714285714286,0.397260273972603,0.531157270029674,0.0714285714285714,0.0117302052785924,2631,12964,0.0232678884105927,0.797541158500445,0.0312965722801788,4,669000,94,269,17,690.301,1,0,0,0.0350286664356658,0.0996153846153846,26
"SANTA ANA",2007,"CA03019","California",30,340223,1,2002,1,1,1,42,23,65,2275,2100,10939,22,27,1168,359,2708,0.830623915697488,0.247554621080538,0.0151515151515152,0.916666666666667,0.415384615384615,0.513406593406593,0.0416666666666667,0.00481189851268591,2636,12927,0.0236512475708474,0.794204997993107,0.0300230946882217,5,669000,84,280,25,740.7857,0,1,0,0.0324316698165615,0.170952380952381,23
"SANTA ANA",2008,"CA03019","California",30,339674,1,2002,1,3,2,29,30,66,2054,1535,9972,16,29,1155,196,2553,0.827694317439582,0.256016847172082,0.0294117647058824,0.484848484848485,0.439393939393939,0.562317429406037,0.0909090909090909,0.00628930817610063,2638,12672,0.0240766313729676,0.791486213506858,0.0309343434343434,6,669000,71,290,20,733.5736,1,0,0,0.0296048564211568,0.127687296416938,30
"SANTA ANA",2009,"CA03019","California",30,339196,1,2002,1,4,3,28,25,77,2074,1473,9843,31,32,1248,132,2525,0.80379279811098,0.256527481458905,0.0375,1.06896551724138,0.415584415584416,0.601735776277724,0.137931034482759,0.0052757793764988,2659,10893,0.0245863329876805,0.788827972407315,0.0309210526315789,7,669000,79,256,33,789.2098,0,1,0,0.0292721612283164,0.0896130346232179,25
"SANTA ANA",2010,"CA03019","California",30,324528,1,2002,1,4,0,23,28,88,2046,1275,9461,35,44,1284,113,2496,0.818864715470201,0.263819892188986,0,1.09375,0.5,0.627565982404692,0.125,0.00583090379008746,2556,11555,0.0252158860768805,0.785743918166795,0.0267175572519084,8,669000,67,285,31,649.089,1,0,0,0.0293503180002958,0.0886274509803922,28
"SANTA ANA",2011,"CA03019","California",30,328343,1,2002,1,1,5,15,13,62,2128,1286,9369,13,29,1354,90,2608,0.802732707087959,0.278364820151564,0.0746268656716418,0.928571428571429,0.467741935483871,0.636278195488722,0.0714285714285714,0.0042115114646701,2541,10340,0.0232276754558028,0.765982584887467,0.0198170731707317,9,669000,77,309,33,693.3919,0,1,0,0.0287169210246602,0.0699844479004666,13
"SANTA ANA",2013,"CA03019","California",30,332848,1,2002,1,4,2,41,13,51,1879,1459,8832,12,29,1051,163,2159,0.835353376357626,0.244451992753623,0.0377358490566038,0.705882352941177,0.568627450980392,0.559340074507717,0.235294117647059,0.00371155885471898,2092,10614,0.0239998411200524,0.758301957746903,0.0305647840531561,11,669000,63,313,16,780.9674,0,2,0,0.0267449406335625,0.111720356408499,14
"RIVERSIDE",1990,"CA03313","California",33,226505,1,2002,0,2,5,76,22,120,5501,3481,23631,14,56,3297,304,6727,0.744725398614914,0.28466844399306,0.04,0.583333333333333,0.466666666666667,0.599345573532085,0.0833333333333333,0.00308082638637187,4755,13872,0.0569020312515715,0.892962026759284,0.0306321358952938,-12,662000,135,158,NA,508,0,1,0,0.105079358071566,0.087331226659006,22
"RIVERSIDE",1991,"CA03313","California",33,231223,1,2002,0,2,2,65,39,114,6178,3615,24697,20,61,3848,275,6994,0.723866896156053,0.283192290561607,0.0172413793103448,0.48780487804878,0.535087719298246,0.622855292975073,0.0487804878048781,0.00435132957292506,4813,12617,0.0587238009958871,0.889696596235656,0.023764515257899,-11,662000,165,161,NA,459,0,2,0,0.107484982030334,0.0760719225449516,39
"RIVERSIDE",1993,"CA03313","California",33,241041,1,2002,0,0,8,50,33,131,7637,3562,27260,22,57,4528,273,7987,0.707349012623749,0.292993396918562,0.0575539568345324,0.666666666666667,0.435114503816794,0.59290297237135,0,0.00222106088319833,5587,13504,0.0617653544624322,0.883614809632801,0.0206213912565301,-9,662000,175,165,NA,466,0,4,0,0.113603079973946,0.0766423357664234,33
"RIVERSIDE",1994,"CA03313","California",33,242740,1,2002,0,4,7,63,37,134,8021,3916,27804,22,73,5187,237,8036,0.704565353345841,0.289023162134945,0.049645390070922,0.536585365853659,0.544776119402985,0.646677471636953,0.0975609756097561,0.00211495396864892,4724,11266,0.0632405872048512,0.880736731343162,0.0202651988991744,-8,662000,181,199,NA,476,0,5,0,0.115069621817583,0.0605209397344229,38
"RIVERSIDE",1995,"CA03313","California",33,242859,1,2002,0,0,2,49,34,117,7791,3097,24828,21,81,5192,254,7974,0.724272715622197,0.321169647172547,0.0168067226890756,0.617647058823529,0.692307692307692,0.666409960210499,0,0.00230503265462927,4303,11303,0.0652256244200799,0.87748664636127,0.0196264640709085,-7,662000,294,338,NA,976,0,6,0,0.102689214729534,0.0820148530836293,36
"RIVERSIDE",1996,"CA03313","California",33,245081,1,2002,0,2,3,49,18,115,6572,2309,19903,8,73,4205,138,6556,0.694188543326176,0.329397578254534,0.0254237288135593,0.4,0.634782608695652,0.639835666463786,0.1,0.000760225026607876,4415,10022,0.0666268694411838,0.875082153527364,0.0298319327731092,-6,662000,242,316,26,1056,0,7,0,0.081711760601597,0.0597661325249026,18
"RIVERSIDE",1997,"CA03313","California",33,248078,1,2002,0,4,6,47,23,97,5619,2230,18585,14,65,3992,163,6443,0.732829874531724,0.34667742803336,0.058252427184466,0.518518518518518,0.670103092783505,0.710446698700836,0.148148148148148,0.00230823863636364,4493,12324,0.0677461174464547,0.873024311520056,0.0266259275425578,-5,662000,230,348,NA,898,1,0,0,0.0753633937713139,0.0730941704035874,23
"RIVERSIDE",1998,"CA03313","California",33,264267,1,2002,0,4,2,21,17,87,4985,1872,15915,14,52,3288,144,5336,0.749832163564236,0.335281181275526,0.0224719101123595,0.666666666666667,0.597701149425287,0.659578736208626,0.19047619047619,0.00180216259511414,4099,12286,0.068682468760175,0.871103401289814,0.0178384050367261,-4,662000,224,332,NA,1020,0,1,0,0.0605259075102075,0.0769230769230769,17
"RIVERSIDE",1999,"CA03313","California",33,265980,1,2002,0,1,5,24,30,77,4641,1618,14977,15,47,2986,91,4686,0.735959038991729,0.312879748948388,0.0609756097560976,0.483870967741935,0.61038961038961,0.643395819866408,0.032258064516129,0.00236457437661221,3352,9343,0.0694755396866661,0.869296749412433,0.0199878861296184,-3,662000,84,157,11,507.9379,0,2,0,0.0565681630197759,0.0562422744128554,30
"RIVERSIDE",2000,"CA03313","California",33,255166,1,2002,0,0,3,32,17,86,5271,1850,16207,12,41,3161,121,4939,0.728845109749476,0.30474486333066,0.0337078651685393,0.705882352941177,0.476744186046512,0.599696452286094,0,0.00302629090221298,3496,9397,0.0700404754421188,0.867708166289281,0.0211640211640212,-2,662000,77,155,0,486.3016,0,3,0,0.0638368748187454,0.0654054054054054,17
"RIVERSIDE",2001,"CA03313","California",33,259908,1,2002,0,1,1,31,20,95,5743,2238,18839,13,47,3669,142,5250,0.740052855674644,0.278677212166251,0.0104166666666667,0.619047619047619,0.494736842105263,0.638864704858088,0.0476190476190476,0.00104365976691599,3541,10081,0.0698695284839686,0.867125191705916,0.0158311345646438,-1,662000,100,155,0,436.8472,1,0,0,0.0727372762669868,0.063449508489723,20
"RIVERSIDE",2002,"CA03313","California",33,264540,1,2002,1,1,1,34,20,94,5819,2470,19685,15,49,3837,160,5533,0.749777580071174,0.281076962153924,0.0105263157894737,0.714285714285714,0.521276595744681,0.659391648049493,0.0476190476190476,0.00325453922576225,3375,10113,0.0693355567811196,0.866117698517596,0.0163281561131024,0,662000,117,152,0,605.8164,0,1,0,0.074718379073108,0.0647773279352227,21
"RIVERSIDE",2003,"CA03313","California",33,277103,1,2002,1,5,0,17,24,102,5190,2599,18782,14,33,3068,186,4682,0.783691037049962,0.249281226706421,0,0.482758620689655,0.323529411764706,0.591136801541426,0.172413793103448,0.0024985585239285,3719,13474,0.0692760823962777,0.863866354021957,0.00839374284624189,1,662000,112,169,12,624.3618,0,2,0,0.0679566803679498,0.0715659869180454,26
"RIVERSIDE",2004,"CA03313","California",33,284762,1,2002,1,1,1,37,17,90,4562,2517,17729,8,35,2516,182,4105,0.813504113067962,0.231541542106154,0.010989010989011,0.444444444444444,0.388888888888889,0.551512494519947,0.0555555555555556,0.0067494012627912,3378,14735,0.0692487245395555,0.86107938413791,0.0190958690568979,2,662000,90,182,13,693.3919,0,3,0,0.0626101797290369,0.0723083035359555,17
"RIVERSIDE",2005,"CA03313","California",33,290299,1,2002,1,3,5,33,10,113,4323,2770,18546,8,32,2327,156,3908,0.791454533737191,0.210719292569826,0.0423728813559322,0.615384615384615,0.283185840707965,0.538283599352302,0.230769230769231,0.00391705069124424,3236,12281,0.06934790840612,0.857702141509227,0.0145855567413732,3,662000,120,177,0,713.9979,1,0,0,0.0641924360745301,0.0563176895306859,10
"RIVERSIDE",2006,"CA03313","California",33,292698,1,2002,1,3,1,22,11,83,3791,2424,16966,6,25,1906,136,3498,0.778071617468373,0.206177060002358,0.0119047619047619,0.428571428571429,0.301204819277108,0.502769717752572,0.214285714285714,0.00524796641301496,3105,10886,0.06983385332519,0.85362555170785,0.0150345388053637,4,662000,114,204,10,743.8766,0,1,0,0.0582477502408626,0.0561056105610561,11
"RIVERSIDE",2007,"CA03313","California",33,299312,1,2002,1,0,1,29,12,91,3927,1846,15870,12,33,2001,125,3687,0.750904977375566,0.232325141776938,0.0108695652173913,1,0.362637362637363,0.509549274255157,0,0.00833333333333333,3303,9957,0.0705381206510747,0.850725465710345,0.0180851063829787,5,662000,116,211,0,768.6038,0,2,0,0.0533323087614262,0.0677139761646804,12
