,title,year,number_of_reviews,rotten_tomatoes_link,wiki_link,number_of_ratings_by_users,number_of_reviews_by_rotten_tomatoes,user_rating,genre,director,producer,writer,runtime_in_minutes,revenue
185,Democrats (film),2014,23,https://www.rottentomatoes.com/m/democrats,https://en.m.wikipedia.org/wiki/Democrats_(film),100+ Ratings,23 Reviews,68%,Documentary,['Camilla Nielsson'],"['Henrik Veileborg', 'Dola Bonfils']",['Camilla Nielsson'],100,30407.0
161,Starless Dreams,2016,20,https://www.rottentomatoes.com/m/starless_dreams,https://en.m.wikipedia.org/wiki/Starless_Dreams,50+ Ratings,21 Reviews,78%,Documentary,['Mehrdad Oskouei'],['Mehrdad Oskouei'],['Mehrdad Oskouei'],76,51500.0
207,Fifi Howls from Happiness,2012,21,https://www.rottentomatoes.com/m/fifi_howls_from_happiness,https://en.m.wikipedia.org/wiki/Fifi_Howls_from_Happiness,100+ Ratings,21 Reviews,84%,Documentary,['Mitra Farahani'],['Marjaneh Moghimi'],['Mitra Farahani'],97,521181.0
168,For the Love of Spock,2016,31,https://www.rottentomatoes.com/m/for_the_love_of_spock,https://en.m.wikipedia.org/wiki/For_the_Love_of_Spock,"1,000+ Ratings",31 Reviews,82%,Documentary,['Adam Nimoy'],"['Joseph Kornbrodt', 'Kevin Layne', 'David Zappone', 'Adam Nimoy']",[],100,15200000.0
27,The Janes,2021,66,https://www.rottentomatoes.com/m/the_janes,https://en.m.wikipedia.org/wiki/The_Janes,Fewer than 50 Ratings,66 Reviews,71%,Documentary,"['Tia Lessin', 'Emma Pildes']","['Emma Pildes', 'Jessica Levin', 'Daniel Arcana']",[],101,15751.0
192,Tales of the Grim Sleeper,2014,39,https://www.rottentomatoes.com/m/tales_of_the_grim_sleeper,https://en.m.wikipedia.org/wiki/Tales_of_the_Grim_Sleeper,500+ Ratings,39 Reviews,77%,Documentary,['Nick Broomfield'],['Marc Hoeferlin'],[],105,34017.0
193,Seymour: An Introduction (film),2014,68,https://www.rottentomatoes.com/m/seymour_an_introduction,https://en.m.wikipedia.org/wiki/Seymour:_An_Introduction_(film),"5,000+ Ratings",68 Reviews,79%,Documentary,['Ethan Hawke'],"['Greg Loser', 'Heather Smith', 'Ryan Hawke']",[],81,743541.0
167,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,2016,57,https://www.rottentomatoes.com/m/bright_lights_starring_carrie_fisher_and_debbie_reynolds,https://en.m.wikipedia.org/wiki/Bright_Lights:_Starring_Carrie_Fisher_and_Debbie_Reynolds,500+ Ratings,57 Reviews,86%,Documentary,"['Alexis Bloom', 'Fisher Stevens']","['Alexis Bloom', 'Todd Fisher', 'Julie Nives']",[],95,15200000.0
200,God Loves Uganda,2013,29,https://www.rottentomatoes.com/m/god_loves_uganda_2013,https://en.m.wikipedia.org/wiki/God_Loves_Uganda,"2,500+ Ratings",29 Reviews,77%,Documentary,['Roger Ross Williams'],"['Julie Goldman', 'Roger Ross Williams']","['Roger Ross Williams', 'Benjamin Gray', 'Richard Hankin']",90,743541.0
197,Maidan (2014 film),2014,27,https://www.rottentomatoes.com/m/maidan,https://en.m.wikipedia.org/wiki/Maidan_(2014_film),100+ Ratings,27 Reviews,53%,Documentary,['Sergei Loznitsa'],"['Sergei Loznitsa', 'Maria Baker-Choustova']",['Sergei Loznitsa'],131,743541.0
163,California Typewriter,2016,40,https://www.rottentomatoes.com/m/california_typewriter_2017,https://en.m.wikipedia.org/wiki/California_Typewriter,250+ Ratings,40 Reviews,83%,Documentary,['Doug Nichol'],"['John Benet', 'Doug Nichol', 'Nion McEvoy']",[],103,218563.0
199,Rewind This!,2013,21,https://www.rottentomatoes.com/m/rewind_this,https://en.m.wikipedia.org/wiki/Rewind_This!,250+ Ratings,21 Reviews,74%,Documentary,['Josh Johnson'],"['Midori Inoue', 'Carolee Mitchell']",[],94,743541.0
205,The Square (2013 film),2013,70,https://www.rottentomatoes.com/m/the_square_2013,https://en.m.wikipedia.org/wiki/The_Square_(2013_film),"5,000+ Ratings",70 Reviews,90%,Documentary,['Jehane Noujaim'],['Karim Amer'],[],104,124244.0
206,Sound City (film),2013,46,https://www.rottentomatoes.com/m/sound_city,https://en.m.wikipedia.org/wiki/Sound_City_(film),"5,000+ Ratings",46 Reviews,90%,Documentary,['Dave Grohl'],"['Dave Grohl', 'John Ramsay', 'James A. Rota']",['Mark Monroe'],108,521181.0
194,Glen Campbell: I'll Be Me,2014,33,https://www.rottentomatoes.com/m/glen_campbell_ill_be_me,https://en.m.wikipedia.org/wiki/Glen_Campbell:_I%27ll_Be_Me,"2,500+ Ratings",33 Reviews,89%,Documentary,['James Keach'],"['Trevor Albert', 'James Keach', 'Kayla Thornton']",[],105,743541.0
