,title,year,number_of_reviews,rotten_tomatoes_link,wiki_link,number_of_ratings_by_users,number_of_reviews_by_rotten_tomatoes,user_rating,genre,director,producer,writer,runtime_in_minutes,revenue
68,Rialto (film),2019,22,https://www.rottentomatoes.com/m/rialto,https://en.m.wikipedia.org/wiki/Rialto_(film),Fewer than 50 Ratings,22 Reviews,50%,Drama,['Peter Mackie Burns'],"['Alan Maher', 'Tristan Goligher', 'John Wallace', 'Valentina Brazzini']","[""Mark O'Halloran""]",86,942937.0
296,Babylon (1980 film),1980,30,https://www.rottentomatoes.com/m/babylon,https://en.m.wikipedia.org/wiki/Babylon_(1980_film),100+ Ratings,30 Reviews,45%,Drama,['Franco Rosso'],[],"['Franco Rosso', 'Martin Stellman']",95,6700000.0
287,Threads (1984 film),1984,10,https://www.rottentomatoes.com/m/threads,https://en.m.wikipedia.org/wiki/Threads_(1984_film),"2,500+ Ratings",10 Reviews,92%,Drama,['Mick Jackson'],[],['Barry Hines'],110,21000000.0
286,A Room with a View (1985 film),1985,35,https://www.rottentomatoes.com/m/a_room_with_a_view_1985,https://en.m.wikipedia.org/wiki/A_Room_with_a_View_(1985_film),"25,000+ Ratings",35 Reviews,85%,Drama,['James Ivory'],['Ismail Merchant'],"['E.M. Forster', 'Ruth Prawer Jhabvala']",115,21000000.0
276,The Juniper Tree (film),1990,20,https://www.rottentomatoes.com/m/the-juniper-tree,https://en.m.wikipedia.org/wiki/The_Juniper_Tree_(film),500+ Ratings,20 Reviews,61%,Drama,['Nietzchka Keene'],"['Nietzchka Keene', 'Patrick Moyroud']",[],80,6300000.0
294,Fanny and Alexander,1982,41,https://www.rottentomatoes.com/m/fanny_and_alexander,https://en.m.wikipedia.org/wiki/Fanny_and_Alexander,"10,000+ Ratings",45 Reviews,94%,Drama,['Ingmar Bergman'],"['Jörn Donner', 'Daniel Toscan du Plantier']",['Ingmar Bergman'],188,6700000.0
54,"Quo Vadis, Aida?",2020,78,https://www.rottentomatoes.com/m/quo_vadis_aida,"https://en.m.wikipedia.org/wiki/Quo_Vadis,_Aida%3F",100+ Ratings,78 Reviews,90%,Drama,['Jasmila Zbanic'],"['Damir Ibrahimovich', 'Jasmila Zbanic']",['Jasmila Zbanic'],102,573005.0
275,La Belle Noiseuse,1991,29,https://www.rottentomatoes.com/m/la_belle_noiseuse,https://en.m.wikipedia.org/wiki/La_Belle_Noiseuse,500+ Ratings,28 Reviews,82%,Drama,['Jacques Rivette'],[],[],238,6300000.0
92,Mickey and the Bear,2019,45,https://www.rottentomatoes.com/m/mickey_and_the_bear,https://en.m.wikipedia.org/wiki/Mickey_and_the_Bear,50+ Ratings,45 Reviews,74%,Drama,['Annabelle Attanasio'],"['Anja Murmann', 'Sabine Schenk', 'Lizzie Shapiro', 'Taylor Shung']",['Annabelle Attanasio'],88,57188.0
52,Sophie Jones (film),2020,20,https://www.rottentomatoes.com/m/sophie_jones,https://en.m.wikipedia.org/wiki/Sophie_Jones_(film),Fewer than 50 Ratings,20 Reviews,71%,Drama,['Jessie Barr'],"['Jessica Barr', 'Jessie Barr', 'Joe Dinnen', 'Lindsay Guerrero']","['Jessica Barr', 'Jessie Barr']",85,573005.0
221,Temple Grandin (film),2010,30,https://www.rottentomatoes.com/m/temple_grandin,https://en.m.wikipedia.org/wiki/Temple_Grandin_(film),"5,000+ Ratings",30 Reviews,94%,Drama,['Mick Jackson'],['Scott Ferguson'],"['Christopher Monger', 'Christopher Monger', 'Merritt Johnson']",110,2200000.0
182,"Christmas, Again",2014,20,https://www.rottentomatoes.com/m/christmas_again,"https://en.m.wikipedia.org/wiki/Christmas,_Again",100+ Ratings,20 Reviews,72%,Drama,['Charles Poekel'],['Charles Poekel'],['Charles Poekel'],80,30407.0
330,Woman in the Dunes,1964,31,https://www.rottentomatoes.com/m/woman_in_the_dunes/,https://en.m.wikipedia.org/wiki/Woman_in_the_Dunes,"5,000+ Ratings",32 Reviews,93%,Drama,['Hiroshi Teshigahara'],"['Kiichi Ichikawa', 'Tadashi Oono']",['Kobo Abe'],125,20000000.0
86,Chained for Life (2019 film),2019,52,https://www.rottentomatoes.com/m/chained_for_life_2018,https://en.m.wikipedia.org/wiki/Chained_for_Life_(2019_film),Fewer than 50 Ratings,53 Reviews,54%,Drama,['Aaron Schimberg'],"['Daniel Patrick Carbone', 'Vanessa McDonnell', 'Matthew Petock', 'Jane Schoenbrun', 'Zachary Shedd']",['Aaron Schimberg'],91,17431.0
6,No Bears,2022,98,https://www.rottentomatoes.com/m/no_bears,https://en.m.wikipedia.org/wiki/No_Bears,Fewer than 50 Ratings,98 Reviews,89%,Drama,['Jafar Panahi'],['Jafar Panahi'],['Jafar Panahi'],107,1100000.0
331,I Am Cuba,1964,36,https://www.rottentomatoes.com/m/i_am_cuba/,https://en.m.wikipedia.org/wiki/I_Am_Cuba,"2,500+ Ratings",36 Reviews,92%,Drama,['Mikhail Kalatozov'],[],[],141,20000000.0
316,Kes (film),1969,32,https://www.rottentomatoes.com/m/kes/,https://en.m.wikipedia.org/wiki/Kes_(film),"5,000+ Ratings",32 Reviews,91%,Drama,['Ken Loach'],['Tony Garnett'],['Barry Hines'],109,10840.0
317,The Swimmer (film),1968,24,https://www.rottentomatoes.com/m/swimmer/,https://en.m.wikipedia.org/wiki/The_Swimmer_(film),"2,500+ Ratings",25 Reviews,83%,Drama,"['Frank Perry', 'Sydney Pollack']","['Roger H. Lewis', 'Frank Perry']",['John Cheever'],94,10840.0
319,Cool Hand Luke,1967,53,https://www.rottentomatoes.com/m/cool_hand_luke/,https://en.m.wikipedia.org/wiki/Cool_Hand_Luke,"50,000+ Ratings",52 Reviews,95%,Drama,['Stuart Rosenberg'],['Gordon Carroll'],"['Frank Pierson', 'Donn Pearce', 'Donn Pearce']",129,16200000.0
235,Still Walking (film),2008,64,https://www.rottentomatoes.com/m/1216014-still_walking,https://en.m.wikipedia.org/wiki/Still_Walking_(film),"2,500+ Ratings",64 Reviews,90%,Drama,['Hirokazu Koreeda'],"['Yoshihiro Kato', 'Satoshi Kono', 'Hijiri Taguchi', 'Masahiro Yasuda']",['Hirokazu Koreeda'],114,3260000.0
17,East of the Mountains (film),2021,28,https://www.rottentomatoes.com/m/east_of_the_mountains,https://en.m.wikipedia.org/wiki/East_of_the_Mountains_(film),Fewer than 50 Ratings,28 Reviews,56%,Drama,['S.J. Chiro'],"['Jane Charles', 'Mischa Jakupcak', 'Lynn Hubbard']",['Thane Swigart'],93,134098.0
383,National Velvet (film),1944,28,https://www.rottentomatoes.com/m/national_velvet/,https://en.m.wikipedia.org/wiki/National_Velvet_(film),"5,000+ Ratings",28 Reviews,78%,Drama,['Clarence Brown'],['Pandro S. Berman'],[],125,5840000.0
381,"Rome, Open City",1945,47,https://www.rottentomatoes.com/m/open_city,"https://en.m.wikipedia.org/wiki/Rome,_Open_City","5,000+ Ratings",47 Reviews,92%,Drama,['Roberto Rossellini'],"['Ferrucio DeMartino', 'Roberto Rossellini']","['Sergio Amidei', 'Alberto Consiglio', 'Sergio Amidei', 'Federico Fellini', 'Roberto Rossellini']",105,1000000.0
25,Playground (2021 film),2021,63,https://www.rottentomatoes.com/m/playground_2021,https://en.m.wikipedia.org/wiki/Playground_(2021_film),Fewer than 50 Ratings,63 Reviews,81%,Drama,['Laura Wandel'],['Stéphane Lhoest'],['Laura Wandel'],72,15751.0
40,Paper Spiders,2021,43,https://www.rottentomatoes.com/m/paper_spiders,https://en.m.wikipedia.org/wiki/Paper_Spiders,100+ Ratings,43 Reviews,95%,Drama,['Inon Shampanier'],"['Ash Christian', 'Anne Clements']",['Natalie Shampanier'],110,14280.0
417,Un Chien Andalou,1929,23,https://www.rottentomatoes.com/m/un_chien_andalou,https://en.m.wikipedia.org/wiki/Un_Chien_Andalou,"10,000+ Ratings",24 Reviews,85%,Drama,['Luis Buñuel'],['Luis Buñuel'],"['Luis Buñuel', 'Salvador Dalí']",16,557000.0
43,Slalom (2020 film),2020,61,https://www.rottentomatoes.com/m/slalom,https://en.m.wikipedia.org/wiki/Slalom_(2020_film),Fewer than 50 Ratings,61 Reviews,59%,Drama,['Charlène Favier'],['Edouard Mauriat'],"['Charlène Favier', 'Marie Talon']",92,573005.0
346,Nights of Cabiria,1957,45,https://www.rottentomatoes.com/m/nights_of_cabiria,https://en.m.wikipedia.org/wiki/Nights_of_Cabiria,"5,000+ Ratings",45 Reviews,94%,Drama,['Federico Fellini'],['Dino De Laurentiis'],"['Federico Fellini', 'Ennio Flaiano', 'Tullio Pinelli']",110,770278.0
39,The Dog Who Wouldn't Be Quiet,2021,30,https://www.rottentomatoes.com/m/the_dog_who_wouldnt_be_quiet,https://en.m.wikipedia.org/wiki/The_Dog_Who_Wouldn%27t_Be_Quiet,Fewer than 50 Ratings,30 Reviews,71%,Drama,['Ana Katz'],[],"['Ana Katz', 'Gonzalo Delgado', 'Ana Katz', 'Gonzalo Delgado']",73,14280.0
309,Fat City (film),1972,27,https://www.rottentomatoes.com/m/fat_city/,https://en.m.wikipedia.org/wiki/Fat_City_(film),"1,000+ Ratings",27 Reviews,84%,Drama,['John Huston'],"['Ray Stark', 'John Huston']",['Leonard Gardner'],96,18300000.0
268,Passion Fish,1992,25,https://www.rottentomatoes.com/m/passion_fish,https://en.m.wikipedia.org/wiki/Passion_Fish,"2,500+ Ratings",26 Reviews,82%,Drama,['John Sayles'],"['Sarah Green', 'Maggie Renzi']",['John Sayles'],134,4814619.0
265,Three Colours: Red,1994,57,https://www.rottentomatoes.com/m/1058966-red,https://en.m.wikipedia.org/wiki/Three_Colours:_Red,"25,000+ Ratings",60 Reviews,94%,Drama,['Krzysztof Kieslowski'],[],"['Krzysztof Kieslowski', 'Krzysztof Piesiewicz']",99,4000000.0
261,La haine,1995,33,https://www.rottentomatoes.com/m/la_haine,https://en.m.wikipedia.org/wiki/La_haine,"25,000+ Ratings",33 Reviews,95%,Drama,['Mathieu Kassovitz'],['Christophe Rossignon'],['Mathieu Kassovitz'],98,15300000.0
251,Take Out (2004 film),2004,25,https://www.rottentomatoes.com/m/take_out2004?,https://en.m.wikipedia.org/wiki/Take_Out_(2004_film),250+ Ratings,27 Reviews,72%,Drama,"['Shih-Ching Tsou', 'Sean Baker']","['Shih-Ching Tsou', 'Sean Baker']","['Shih-Ching Tsou', 'Sean Baker']",90,4779.0
249,Cama Adentro,2004,33,https://www.rottentomatoes.com/m/live_in_maid,https://en.m.wikipedia.org/wiki/Cama_Adentro,"1,000+ Ratings",33 Reviews,75%,Drama,['Jorge Gaggero'],"['Verónica Cura', 'Antón Reixa', 'Diego Mas Trelles']",['Jorge Gaggero'],87,4779.0
246,C.R.A.Z.Y.,2005,31,https://www.rottentomatoes.com/m/crazy,https://en.m.wikipedia.org/wiki/C.R.A.Z.Y.,"10,000+ Ratings",31 Reviews,93%,Drama,['Jean-Marc Vallée'],[],"['Jean-Marc Vallée', 'François Boulay']",127,3692417.0
310,The Last Picture Show,1971,62,https://www.rottentomatoes.com/m/last_picture_show/,https://en.m.wikipedia.org/wiki/The_Last_Picture_Show,"10,000+ Ratings",62 Reviews,89%,Drama,['Peter Bogdanovich'],['Stephen Friedman'],"['Peter Bogdanovich', 'Larry McMurtry', 'Larry McMurtry']",118,29100000.0
245,Fireworks Wednesday,2006,45,https://www.rottentomatoes.com/m/fireworks_wednesday,https://en.m.wikipedia.org/wiki/Fireworks_Wednesday,"1,000+ Ratings",45 Reviews,83%,Drama,['Asghar Farhadi'],[],"['Asghar Farhadi', 'Mani Haghighi']",104,327205.0
173,The Dresser (2015 film),2015,14,https://www.rottentomatoes.com/m/the_dresser,https://en.m.wikipedia.org/wiki/The_Dresser_(2015_film),250+ Ratings,14 Reviews,60%,Drama,['Richard Eyre'],['Suzan Harrison'],[],105,15200000.0
418,The Man Who Laughs (1928 film),1928,20,https://www.rottentomatoes.com/m/the_man_who_laughs_1928,https://en.m.wikipedia.org/wiki/The_Man_Who_Laughs_(1928_film),"1,000+ Ratings",21 Reviews,87%,Drama,['Paul Leni'],[],"['J. Grubb Alexander', 'J. Grubb Alexander', 'Victor Hugo']",124,557000.0
202,The Tale of the Princess Kaguya (film),2013,97,https://www.rottentomatoes.com/m/the_tale_of_the_princess_kaguya,https://en.m.wikipedia.org/wiki/The_Tale_of_the_Princess_Kaguya_(film),"10,000+ Ratings",97 Reviews,90%,Fantasy,['Isao Takahata'],"['Geoffrey Wexler', 'Seiichirô Ujiie']","['Isao Takahata', 'Riko Sakaguchi']",137,27000000.0
23,The Witcher: Nightmare of the Wolf,2021,27,https://www.rottentomatoes.com/m/the_witcher_nightmare_of_the_wolf,https://en.m.wikipedia.org/wiki/The_Witcher:_Nightmare_of_the_Wolf,500+ Ratings,27 Reviews,83%,Fantasy,['Kwang-Il Han'],"['Lauren Schmidt Hissrich', 'Beau de Mayo']","['Beau DeMayo', 'Beau de Mayo', 'Andrzej Sapkowski']",83,15751.0
124,Creep 2,2017,26,https://www.rottentomatoes.com/m/creep_2_2017,https://en.m.wikipedia.org/wiki/Creep_2,"1,000+ Ratings",26 Reviews,72%,Horror,['Patrick Brice'],['Carolyn Craddock'],"['Patrick Brice', 'Mark Duplass']",78,7700000.0
411,The Most Dangerous Game (1932 film),1932,20,https://www.rottentomatoes.com/m/most_dangerous_game,https://en.m.wikipedia.org/wiki/The_Most_Dangerous_Game_(1932_film),"2,500+ Ratings",23 Reviews,73%,Horror,"['Irving Pichel', 'Ernest B. Schoedsack']",[],"['Richard Connell', 'James Ashmore Creelman']",63,443000.0
55,His House,2020,122,https://www.rottentomatoes.com/m/his_house,https://en.m.wikipedia.org/wiki/His_House,"1,000+ Ratings",122 Reviews,74%,Horror,['Remi Weekes'],"['Martin Gentles', 'Ed King']",['Remi Weekes'],93,573005.0
164,Seoul Station (film),2016,23,https://www.rottentomatoes.com/m/seoul_station,https://en.m.wikipedia.org/wiki/Seoul_Station_(film),250+ Ratings,23 Reviews,38%,Horror,['Yeon Sang-ho'],"['Lee Dong-ha', 'Suh Youngjoo', 'Yeon Sang-ho']",['Yeon Sang-ho'],92,2021735.0
297,The King and the Mockingbird,1980,22,https://www.rottentomatoes.com/m/the_king_and_the_mockingbird/,https://en.m.wikipedia.org/wiki/The_King_and_the_Mockingbird,"2,500+ Ratings",22 Reviews,90%,Kids &amp; family,['Paul Grimault'],[],"['Paul Grimault', 'Jacques Prévert']",85,6700000.0
260,Toy Story,1995,96,https://www.rottentomatoes.com/m/toy_story,https://en.m.wikipedia.org/wiki/Toy_Story,"250,000+ Ratings",96 Reviews,92%,Kids &amp; family,['John Lasseter'],"['Ralph Guggenheim', 'Bonnie Arnold']","['John Lasseter', 'Pete Docter', 'Joe Ranft', 'Joss Whedon', 'Andrew Stanton', 'Joel Cohen', 'Alec Sokolow']",80,394400000.0
396,Pinocchio (1940 film),1940,60,https://www.rottentomatoes.com/m/pinocchio_1940,https://en.m.wikipedia.org/wiki/Pinocchio_(1940_film),"250,000+ Ratings",60 Reviews,73%,Kids &amp; family,"['Ben Sharpsteen', 'Hamilton Luske']",['Walt Disney'],[],87,164000000.0
253,Toy Story 2,1999,171,https://www.rottentomatoes.com/m/toy_story_2,https://en.m.wikipedia.org/wiki/Toy_Story_2,"250,000+ Ratings",171 Reviews,87%,Kids &amp; family,"['Ash Brannon', 'John Lasseter', 'Lee Unkrich']","['Karen Robert Jackson', 'Helene Plotkin']","['John Lasseter', 'Pete Docter', 'Ash Brannon', 'Andrew Stanton', 'Andrew Stanton', 'Rita Hsiao', 'Doug Chamberlain', 'Chris Webb']",92,512000000.0
302,The Many Adventures of Winnie the Pooh,1977,18,https://www.rottentomatoes.com/m/many_adventures_of_winnie_the_pooh,https://en.m.wikipedia.org/wiki/The_Many_Adventures_of_Winnie_the_Pooh,"25,000+ Ratings",18 Reviews,88%,Kids &amp; family,"['John Lounsbery', 'Wolfgang Reithermann']",['Wolfgang Reitherman'],"['Larry Clemmons', 'Ralph Wright', 'Vance Gerry', 'Xavier Atencio', 'Ken Anderson', 'Julius Svendsen', 'Ted Berman', 'Eric Cleworth']",74,14300000.0
409,Top Hat,1935,42,https://www.rottentomatoes.com/m/top_hat,https://en.m.wikipedia.org/wiki/Top_Hat,"5,000+ Ratings",42 Reviews,90%,Musical,['Mark Sandrich'],['Pandro S. Berman'],"['Aladar Laszlo', 'Károly Nóti', 'Allan Scott', 'Dwight Taylor']",99,3200000.0
230,Passing Strange (musical),2009,25,https://www.rottentomatoes.com/m/1217083_passing_strange,https://en.m.wikipedia.org/wiki/Passing_Strange_(musical),500+ Ratings,25 Reviews,90%,Musical,['Spike Lee'],"['Spike Lee', 'Steve Klein']",[],136,65082.0
359,The Band Wagon,1953,20,https://www.rottentomatoes.com/m/band_wagon,https://en.m.wikipedia.org/wiki/The_Band_Wagon,"2,500+ Ratings",20 Reviews,82%,Musical,['Vincente Minnelli'],['Arthur Freed'],"['Betty Comden', 'Adolph Green']",112,3500000.0
363,Singin' in the Rain,1952,75,https://www.rottentomatoes.com/m/singin_in_the_rain/,https://en.m.wikipedia.org/wiki/Singin%27_in_the_Rain,"100,000+ Ratings",75 Reviews,95%,Musical,"['Stanley Donen', 'Gene Kelly']",['Arthur Freed'],"['Betty Comden', 'Adolph Green']",102,7200000.0
