index,Institution,,stateab,control,region,hbcu,ugds_women,ugds_black,npt4,tuitionfee_in,tuitionfee_out,avgfacsal,pftfac
1150,Dallas Baptist University,,TX,2,6,0,0.5851,0.101,26203,28870,28870,8253,0.9041
1151,University of Dallas,,TX,2,6,0,0.5276,0.0225,22209,40652,40652,7991,0.6217
1152,East Texas Baptist University,,TX,2,6,0,0.5382,0.172,21484,26370,26370,6947,1
1153,Texas A&M University-Texarkana,,TX,1,6,0,0.5942,0.1395,11569,7363,19392,8315,0.5174
1154,Texas A & M University-Commerce,,TX,1,6,0,0.6011,0.2205,12875,8748,21198,8249,0.9846
1155,Hardin-Simmons University,,TX,2,6,0,0.5358,0.0913,20659,28990,28990,7327,0.6829
1156,Houston Baptist University,,TX,2,6,0,0.643,0.1731,20894,32530,32530,7226,0.5402
1157,University of Houston-Clear Lake,,TX,1,6,0,0.623,0.078,12466,7002,19954,8885,0.6415
1158,University of Houston-Downtown,,TX,1,6,0,0.6043,0.1904,7789,6500,16460,8106,0.5194
1159,University of Houston-Victoria,,TX,1,6,0,0.6492,0.1476,9709,6491,16451,8551,0.6256
1160,University of Houston,,TX,1,6,0,0.4978,0.0986,16161,8913,21273,11900,0.8215
1161,Howard Payne University,,TX,2,6,0,0.448,0.1296,22371,28090,28090,5814,1
1162,Huston-Tillotson University,,TX,2,6,1,0.6162,0.6384,16532,14346,14346,5757,0.3761
1163,University of the Incarnate Word,,TX,2,6,0,0.6018,0.0702,23441,31484,31484,8311,0.481
1164,Jarvis Christian College,,TX,2,6,1,0.5466,0.7665,12384,11720,11720,6087,0.4516
1165,Lamar University,,TX,1,6,0,0.5826,0.2646,12967,8373,18333,8052,0.7885
1166,Texas A & M International University,,TX,1,6,0,0.6024,0.0049,4422,7176,18064,8447,0.6322
1167,LeTourneau University,,TX,2,6,0,0.4365,0.0994,22105,30210,30210,6611,0.381
1168,Lubbock Christian University,,TX,2,6,0,0.5987,0.0416,23437,22440,22440,6408,0.5104
1169,University of Mary Hardin-Baylor,,TX,2,6,0,0.6463,0.141,24346,28650,28650,7914,1
1170,McMurry University,,TX,2,6,0,0.5046,0.1287,21562,27419,27419,6604,0.9885
1171,Midwestern State University,,TX,1,6,0,0.6046,0.1482,10764,9233,11183,7893,0.7444
1172,University of North Texas,,TX,1,6,0,0.5228,0.1334,13609,10852,20812,9978,0.7498
1173,Our Lady of the Lake University,,TX,2,6,0,0.6819,0.0817,17506,28740,28740,7204,0.3493
1174,The University of Texas Rio Grande Valley,,TX,1,6,0,0.566,0.0044,4166,7813,17773,6192,0.8355
1175,Paul Quinn College,,TX,2,6,1,0.561,0.796,12530,8920,8920,4577,0.2766
1176,Prairie View A & M University,,TX,1,6,1,0.6394,0.844,12685,10533,24843,8205,0.8333
1177,Rice University,,TX,2,6,0,0.477,0.0714,20879,47350,47350,15985,0.8266
1178,Saint Edward's University,,TX,2,6,0,0.6207,0.0426,24082,45428,45428,8674,0.4835
1179,University of St Thomas,,TX,2,6,0,0.6281,0.0697,18467,33580,33580,7607,0.9716
1180,Sam Houston State University,,TX,1,6,0,0.6217,0.1762,13666,8296,18256,7744,0.7976
1181,Schreiner University,,TX,2,6,0,0.5675,0.0481,20424,27960,27960,6318,0.5732
1182,St. Mary's University,,TX,2,6,0,0.5475,0.0327,17850,30650,30650,10430,0.5821
1183,Southern Methodist University,,TX,2,6,0,0.4868,0.0456,36575,54492,54492,12829,0.6758
1184,Southwestern Assemblies of God University,,TX,2,6,0,0.5324,0.1163,25240,19582,19582,5019,0.5423
1185,Southwestern University,,TX,2,6,0,0.551,0.0503,26393,42000,42000,8274,0.7386
1186,Stephen F Austin State University,,TX,1,6,0,0.6364,0.1621,12951,8316,18276,7716,0.727
1187,Texas State University,,TX,1,6,0,0.5769,0.0987,15629,10280,21900,8000,0.7622
1188,Southwestern Adventist University,,TX,2,6,0,0.5854,0.1258,19334,21564,21564,5028,1
1189,Sul Ross State University,,TX,1,6,0,0.5791,0.0553,15925,6816,16776,6228,0.6391
1190,Tarleton State University,,TX,1,6,0,0.6155,0.0799,17707,7292,17252,7624,0.5866
1191,Texas A & M University-Kingsville,,TX,1,6,0,0.4746,0.0621,14796,8922,23899,7914,0.735
1192,Texas A & M University-College Station,,TX,1,6,0,0.4757,0.0284,18944,11870,37495,11879,0.874
1193,The University of Texas at Arlington,,TX,1,6,0,0.615,0.1462,12410,10496,26533,9243,0.5675
1194,The University of Texas at Austin,,TX,1,6,0,0.5385,0.0423,16505,10610,37580,12940,0.8434
1195,The University of Texas at Dallas,,TX,1,6,0,0.4317,0.0543,14336,13034,36876,12652,0.8028
1196,The University of Texas at El Paso,,TX,1,6,0,0.5343,0.0231,9032,8198,22629,9055,0.704
1197,The University of Texas at Tyler,,TX,1,6,0,0.568,0.0942,14193,8292,21282,8366,0.7249
1198,Texas Christian University,,TX,2,6,0,0.5886,0.0571,37513,46950,46950,11766,0.9959
1199,Texas College,,TX,2,6,1,0.452,0.8292,19520,10008,10008,4404,0.6296
1200,Texas Lutheran University,,TX,2,6,0,0.5026,0.0948,19301,29960,29960,7257,0.6547
1201,The University of Texas of the Permian Basin,,TX,1,6,0,0.5596,0.0669,9632,6260,7100,8164,0.5231
1202,The University of Texas at San Antonio,,TX,1,6,0,0.4982,0.0889,13849,8049,19538,9062,0.7262
1203,Texas Southern University,,TX,1,6,1,0.5751,0.8122,19950,9173,21623,7598,0.6575
1204,Texas Tech University,,TX,1,6,0,0.4656,0.0651,17033,9080,19040,9228,0.8903
1205,Texas Wesleyan University,,TX,2,6,0,0.5197,0.1488,21614,30300,30300,7651,0.4801
1206,Texas Woman's University,,TX,1,6,0,0.9046,0.1813,9727,7796,17756,8515,0.9812
1207,Trinity University,,TX,2,6,0,0.5297,0.037,23016,42976,42976,10771,0.7725
1208,Wayland Baptist University,,TX,2,6,0,0.5077,0.1758,21855,20070,20070,5305,1
1209,West Texas A & M University,,TX,1,6,0,0.5789,0.0486,13185,7935,9304,7667,0.7755
1210,Wiley College,,TX,2,6,1,0.5679,0.7595,15603,12306,12306,5370,0.5926
1211,Brigham Young University-Provo,,UT,2,7,0,0.4974,0.0051,13181,5620,5620,10974,0.7104
1212,Brigham Young University-Hawaii,,HI,2,8,0,0.6056,0.0033,12793,5560,5560,9388,1
1213,Southern Utah University,,UT,1,7,0,0.5487,0.0252,14284,6770,20586,6810,0.7359
1214,Utah State University,,UT,1,7,0,0.5347,0.0086,13150,8138,22316,9214,0.955
1215,Utah Valley University,,UT,1,7,0,0.4531,0.0099,7572,5726,16296,8075,0.3698
1216,University of Utah,,UT,1,7,0,0.467,0.0134,14364,9222,29215,10727,0.9366
1217,Westminster College,,UT,2,7,0,0.5971,0.0231,22793,34000,34000,8486,1
1218,Bennington College,,VT,2,1,0,0.6431,0.0361,29386,53860,53860,9752,0.5081
1219,Castleton University,,VT,1,1,0,0.518,0.0355,16913,12314,28322,6637,1
1220,Champlain College,,VT,2,1,0,0.414,0.0751,35549,41010,41010,8456,0.9929
1221,Goddard College,,VT,2,1,0,0.7222,0.0833,23187,16586,16586,4857,1
1222,Northern Vermont University,,VT,1,1,0,0.5655,0.041,15308,12074,25394,6768,1
1223,Marlboro College,,VT,2,1,0,0.5714,0.0429,17497,40840,40840,5012,1
1224,Middlebury College,,VT,2,1,0,0.529,0.04,25587,54450,54450,11368,0.8654
1225,Norwich University,,VT,2,1,0,0.2369,0.0458,25581,40014,40014,7575,0.4665
1226,Saint Michael's College,,VT,2,1,0,0.545,0.0242,29490,45375,45375,8571,0.9922
1227,Sterling College,,VT,2,1,0,0.5047,0,24066,38300,38300,4120,0.8421
1228,University of Vermont,,VT,1,1,0,0.5875,0.0122,18980,18276,42516,10205,0.7694
1229,Averett University,,VA,2,5,0,0.4231,0.2895,19749,34520,34520,6082,1
1230,Bluefield College,,VA,2,5,0,0.4949,0.248,21997,26060,26060,5171,0.3147
1231,Bridgewater College,,VA,2,5,0,0.5541,0.1645,19836,35160,35160,6673,0.75
1232,William & Mary,,VA,1,5,0,0.5776,0.0715,16383,23400,45272,11141,0.8002
1233,Regent University,,VA,2,5,0,0.6116,0.2687,18403,18380,18380,8175,0.7619
1234,Christopher Newport University,,VA,1,5,0,0.5572,0.0649,24185,14754,27620,8706,0.625
1235,Emory & Henry College,,VA,2,5,0,0.5239,0.0861,18182,35100,35100,6938,1
1236,Eastern Mennonite University,,VA,2,5,0,0.6359,0.0874,24326,37110,37110,5967,1
1237,Ferrum College,,VA,2,5,0,0.4389,0.331,21904,34175,34175,5956,1
1238,George Mason University,,VA,1,5,0,0.4972,0.1129,20321,12462,35922,10953,0.5166
1239,Hampden-Sydney College,,VA,2,5,0,0.0019,0.0485,30321,45746,45746,8087,0.9279
1240,Hampton University,,VA,2,5,1,0.6577,0.9593,28568,26702,26702,7186,0.9963
1241,Hollins University,,VA,2,5,0,1,0.1021,20762,39035,39035,7165,0.6462
1242,James Madison University,,VA,1,5,0,0.582,0.0482,21281,12016,28416,8746,0.7989
1243,Liberty University,,VA,2,5,0,0.5823,0.1076,27883,22584,22584,6368,0.3928
1244,Longwood University,,VA,1,5,0,0.6725,0.0986,19207,13340,29300,7484,1
1245,University of Lynchburg,,VA,2,5,0,0.5982,0.1067,23687,39530,39530,7699,0.6973
1246,Mary Baldwin University,,VA,2,5,0,0.8758,0.2428,16460,31110,31110,6933,0.2849
1247,University of Mary Washington,,VA,1,5,0,0.6431,0.0753,21483,12714,28648,8218,0.6597
1248,Marymount University,,VA,2,5,0,0.6353,0.1449,24933,31926,31926,8573,0.4737
1249,Norfolk State University,,VA,1,5,1,0.6542,0.8497,15155,9490,20658,8183,1
1250,Old Dominion University,,VA,1,5,0,0.5559,0.3159,15680,10560,29460,8428,0.9481
1251,Radford University,,VA,1,5,0,0.5701,0.1689,17707,11210,23292,8333,0.6845
1252,Randolph-Macon College,,VA,2,5,0,0.5291,0.0961,26264,41300,41300,8342,0.6529
1253,Randolph College,,VA,2,5,0,0.6354,0.1601,23825,39585,39585,8386,1
1254,University of Richmond,,VA,2,5,0,0.526,0.0784,25911,52610,52610,12673,0.6872
1255,Roanoke College,,VA,2,5,0,0.577,0.053,26256,44155,44155,7720,0.8009
1256,Shenandoah University,,VA,2,5,0,0.5955,0.1024,29001,32530,32530,7911,0.5768
1257,Southern Virginia University,,VA,2,5,0,0.5349,0.0302,17560,16495,16495,6677,1
1258,Sweet Briar College,,VA,2,5,0,1,0.0958,22672,21000,21000,6654,0.8261
1259,The University of Virginia's College at Wise,,VA,1,5,0,0.5097,0.0994,9880,10119,27846,7799,1
1260,Virginia Polytechnic Institute and State University,,VA,1,5,0,0.4302,0.0423,20964,13620,31908,11660,0.984
1261,Virginia Commonwealth University,,VA,1,5,0,0.5991,0.1965,21313,14493,35834,9306,0.6226
1262,University of Virginia-Main Campus,,VA,1,5,0,0.5472,0.068,20281,17653,49032,14278,0.9453
1263,Virginia Military Institute,,VA,1,5,0,0.1294,0.0641,19236,18862,45706,8081,1
1264,Virginia State University,,VA,1,5,1,0.574,0.2451,15899,9056,20307,7349,0.7238
1265,Virginia Union University,,VA,2,5,1,0.5424,0.9355,22076,17748,17748,5014,0.4937
1266,Virginia Wesleyan University,,VA,2,5,0,0.586,0.2581,24311,36660,36660,8290,0.6923
1267,Washington and Lee University,,VA,2,5,0,0.4951,0.0269,27083,52455,52455,12568,0.8076
1268,Central Washington University,,WA,1,8,0,0.514,0.0404,15175,8072,23053,8139,0.7246
1269,City University of Seattle,,WA,2,8,0,0.4962,0.1029,23557,16973,16973,5632,0.078
1270,Eastern Washington University,,WA,1,8,0,0.5317,0.0353,12150,7323,24444,8875,0.7286
1271,The Evergreen State College,,WA,1,8,0,0.5824,0.0503,12500,7746,26262,8596,0.7385
1272,Gonzaga University,,WA,2,8,0,0.5247,0.0132,33545,43210,43210,9633,0.5726
1273,Heritage University,,WA,2,8,0,0.7375,0.004,9361,17914,17914,7516,0.3212
1274,Northwest University,,WA,2,8,0,0.6573,0.038,26932,31540,31540,6739,0.2535
1275,Pacific Lutheran University,,WA,2,8,0,0.6407,0.0402,23821,42436,42436,7853,0.6382
1276,University of Puget Sound,,WA,2,8,0,0.6001,0.0182,36075,49776,49776,10520,0.8212
1277,Saint Martin's University,,WA,2,8,0,0.4844,0.0553,21826,37356,37356,6660,0.4879
1278,Seattle Pacific University,,WA,2,8,0,0.6683,0.0479,28400,42939,42939,8536,0.5207
1279,Seattle University,,WA,2,8,0,0.605,0.0308,34947,44610,44610,9586,0.6996
1280,Walla Walla University,,WA,2,8,0,0.5019,0.0256,21798,28035,28035,5385,1
1281,Washington State University,,WA,1,8,0,0.5261,0.0322,15768,11584,25820,9888,0.7935
1282,University of Washington-Seattle Campus,,WA,1,8,0,0.5335,0.0298,12001,11207,36588,13086,0.7899
1283,Western Washington University,,WA,1,8,0,0.5687,0.0167,16439,8126,23540,10023,0.6821
1284,Whitman College,,WA,2,8,0,0.574,0.018,32627,52764,52764,9486,0.7824
1285,Whitworth University,,WA,2,8,0,0.6046,0.0204,27087,43640,43640,7267,0.9688
1286,Alderson Broaddus University,,WV,2,5,0,0.4581,0.2345,19385,27910,27910,5029,0.76
1287,Bethany College,,WV,2,5,0,0.3982,0.2216,19268,29773,29773,5983,0.7059
1288,Bluefield State College,,WV,1,5,1,0.6437,0.0721,9358,7056,13536,6444,0.641
1289,University of Charleston,,WV,2,5,0,0.4382,0.0916,20608,30900,30900,6531,0.5163
1290,Concord University,,WV,1,5,0,0.5925,0.0578,9161,8211,17655,6208,0.5988
1291,Davis & Elkins College,,WV,2,5,0,0.5966,0.0582,17405,29590,29590,5680,0.5053
1292,Fairmont State University,,WV,1,5,0,0.565,0.05,10368,7514,16324,6430,0.9326
1293,Marshall University,,WV,1,5,0,0.5704,0.0637,8894,8128,18614,7651,0.7647
1294,Ohio Valley University,,WV,2,5,0,0.4741,0.0855,17462,21900,21900,4924,0.3793
1295,Shepherd University,,WV,1,5,0,0.5825,0.0852,9861,7548,18048,7245,0.5488
1296,West Virginia State University,,WV,1,5,1,0.5553,0.1432,13904,8212,17666,5892,0.599
1297,West Liberty University,,WV,1,5,0,0.6334,0.0281,12876,7680,15620,6652,0.6905
1298,West Virginia Wesleyan College,,WV,2,5,0,0.5434,0.1003,18379,31640,31640,5951,0.5344
1299,West Virginia University,,WV,1,5,0,0.4812,0.0413,12539,8856,24950,10123,0.7611
1300,Wheeling University,,WV,2,5,0,0.4549,0.1195,16648,29290,29290,6029,0.4732
1301,Alverno College,,WI,2,3,0,0.9967,0.1362,17022,28302,28302,5782,0.3846
1302,Beloit College,,WI,2,3,0,0.5429,0.071,14877,50040,50040,7043,0.8705
1303,Cardinal Stritch University,,WI,2,3,0,0.6865,0.2105,18040,29998,29998,6048,0.3069
1304,Carroll University,,WI,2,3,0,0.6616,0.0204,22943,31918,31918,7652,0.335
1305,Carthage College,,WI,2,3,0,0.5591,0.0589,27764,43550,43550,8460,0.528
1306,Concordia University-Wisconsin,,WI,2,3,0,0.6436,0.0978,23889,29450,29450,6273,1
1307,Edgewood College,,WI,2,3,0,0.7373,0.0362,25340,29500,29500,6200,0.5986
1308,Lakeland University,,WI,2,3,0,0.5728,0.0901,20351,28870,28870,6796,0.1806
1309,Lawrence University,,WI,2,3,0,0.5325,0.0524,24801,47475,47475,8143,0.8282
1310,Maranatha Baptist University,,WI,2,3,0,0.5441,0.0144,17013,15410,15410,4542,0.5444
1311,Marian University,,WI,2,3,0,0.6944,0.0565,20461,27400,27400,6608,0.9158
1312,Marquette University,,WI,2,3,0,0.5412,0.0387,29693,41870,41870,9938,0.577
1313,Milwaukee School of Engineering,,WI,2,3,0,0.2587,0.0205,23706,40749,40749,9659,0.5169
1314,Mount Mary University,,WI,2,3,0,0.9985,0.2056,17706,30100,30100,6281,0.2919
1315,Northland College,,WI,2,3,0,0.5382,0.0302,19187,36183,36183,6081,0.7727
1316,Ripon College,,WI,2,3,0,0.5349,0.0407,18397,43808,43808,7561,0.9481
1317,Saint Norbert College,,WI,2,3,0,0.586,0.0162,24928,38129,38129,7522,0.8239
1318,Holy Family College,,WI,2,3,0,0.6889,0.2148,23248,28390,28390,5217,0.3898
1319,Viterbo University,,WI,2,3,0,0.7379,0.0047,19974,27970,27970,6661,0.3987
1320,University of Wisconsin-Whitewater,,WI,1,3,0,0.4898,0.0404,14166,7692,16265,7528,0.7556
1321,University of Wisconsin-Eau Claire,,WI,1,3,0,0.6187,0.0124,15673,8820,17095,7667,0.7593
1322,University of Wisconsin-Green Bay,,WI,1,3,0,0.6311,0.0224,14487,7878,15728,6661,0.6341
1323,University of Wisconsin-La Crosse,,WI,1,3,0,0.5599,0.008,14478,9107,17776,7160,0.8533
1324,Wisconsin Lutheran College,,WI,2,3,0,0.5526,0.0627,21135,29725,29725,6382,0.9351
1325,University of Wisconsin-Oshkosh,,WI,1,3,0,0.5775,0.026,15695,7621,15194,7276,0.64
1326,University of Wisconsin-Parkside,,WI,1,3,0,0.5299,0.0897,11856,7389,15378,6576,0.6549
1327,University of Wisconsin-Stout,,WI,1,3,0,0.4269,0.0184,15945,9457,17424,7193,0.7068
1328,University of Wisconsin-Superior,,WI,1,3,0,0.6203,0.0173,13857,8126,15699,6476,0.7394
1329,University of Wisconsin-Madison,,WI,1,3,0,0.5136,0.0197,18219,10555,36805,12350,0.8233
1330,University of Wisconsin-Milwaukee,,WI,1,3,0,0.5191,0.0691,17661,9588,20867,8540,0.6453
1331,University of Wisconsin-Platteville,,WI,1,3,0,0.3464,0.0168,15419,7796,15646,6845,0.7875
1332,University of Wisconsin-River Falls,,WI,1,3,0,0.628,0.0142,15645,8025,15598,7693,0.5984
1333,University of Wisconsin-Stevens Point,,WI,1,3,0,0.529,0.02,14192,8239,16506,6781,0.7688
1334,University of Wyoming,,WY,1,7,0,0.5062,0.0104,13379,5400,17490,9846,0.9791
1335,Stanford University,,CA,2,8,0,0.5009,0.0649,12265,51354,51354,20279,0.9853
1336,Purdue University-Main Campus,,IN,1,3,0,0.4236,0.0287,12527,9992,28794,12418,0.9595
1337,St. John's College,,NM,2,6,0,0.4438,0.0031,40973,54118,54118,8976,0.8462
1338,Mid-America Christian University,,OK,2,6,0,0.629,0.0947,12554,19604,19604,5038,1
1339,Brandman University,,CA,2,8,0,0.6183,0.055,26864,12380,12380,8843,0.1143
1340,New College of Florida,,FL,1,5,0,0.6238,0.0309,7991,6916,29944,8437,0.832
1341,California State University-San Marcos,,CA,1,8,0,0.621,0.0295,12872,7713,19593,9790,0.4642
1342,Hodges University,,FL,2,5,0,0.5932,0.1243,18686,14180,14180,5871,0.2848
1343,Beacon College,,FL,2,5,0,0.3875,0.1625,33886,39016,39016,5107,0.8889
1344,Everglades University,,FL,2,5,0,0.4919,0.1749,27876,17600,17600,3543,0.2546
1345,Soka University of America,,CA,2,8,0,0.6565,0.035,15635,33146,33146,11822,0.679
1346,California State University-Monterey Bay,,CA,1,8,0,0.624,0.0391,12739,7143,19023,9509,0.4977
1347,Florida Gulf Coast University,,FL,1,5,0,0.556,0.0706,13745,6118,25162,8142,0.6258
1348,Nevada State College,,NV,1,8,0,0.779,0.0891,12980,5438,17458,7669,1
1349,California State University-Channel Islands,,CA,1,8,0,0.6438,0.0228,16226,6817,18697,9690,0.5402
1350,University of California-Merced,,CA,1,8,0,0.5163,0.045,12253,13538,42530,11225,0.9102
1351,Ave Maria University,,FL,2,5,0,0.5224,0.0542,17981,20850,20850,7578,1
1352,Harrisburg University of Science and Technology,,PA,2,2,0,0.4496,0.3947,14600,23900,23900,9114,0.3237
1353,Georgia Gwinnett College,,GA,1,5,0,0.5658,0.3289,12475,5634,16348,6951,0.6944
1354,University of the West,,CA,2,8,0,0.5588,0.0074,8833,12592,12592,7034,1
1355,The King's College,,NY,2,2,0,0.6503,0.0473,33070,36450,36450,9477,0.6304
1356,Providence Christian College,,CA,2,8,0,0.4503,0.0351,18283,30370,30370,5016,0.3478
1357,Pacific Rim Christian University,,HI,2,8,0,0.4286,0.0635,14978,10460,10460,-99,-99
1358,Touro University Worldwide,,CA,2,8,0,0.7095,0.24,18774,14600,14600,5781,0.1062
1359,Texas A&M University-San Antonio,,TX,1,6,0,0.6161,0.0568,13036,8656,21159,7734,1
1360,North American University,,TX,2,6,0,0.3686,0.1204,12299,9900,9900,5130,0.3864
1361,John Paul the Great Catholic University,,CA,2,8,0,0.4281,0.0211,24823,26100,26100,6583,0.3846
1362,Los Angeles Pacific University,,CA,2,8,0,0.7667,0.1644,20885,10200,10200,7120,1
1363,Augusta University,,GA,1,5,0,0.6512,0.2482,13438,8604,23156,8088,0.6545
1364,Middle Georgia State University,,GA,1,5,0,0.5761,0.363,9794,3924,11092,5937,0.701
1365,University of North Georgia,,GA,1,5,0,0.5616,0.0417,9994,4692,13514,5996,0.7126
1366,Florida Polytechnic University,,FL,1,5,0,0.131,0.0454,14656,4940,4940,9082,0.7816
1367,Antioch College,,OH,2,3,0,0.6176,0.1667,17420,35568,35568,6255,1
1368,University of North Texas at Dallas,,TX,1,6,0,0.6876,0.3036,7400,9139,21589,8539,1
1369,Kennesaw State University,,GA,1,5,0,0.4743,0.2142,17688,6347,17329,7167,0.6293
1370,Milligan College,,TN,2,5,0,0.5667,0.0397,20632,33700,33700,6360,0.9909
1371,Husson University,,ME,2,1,0,0.5708,0.0436,18358,18170,18170,7311,1
1372,Purdue University Northwest,,IN,1,3,0,0.5506,0.0985,10605,7691,17367,8521,0.9884
