index,Institution,,stateab,control,region,hbcu,ugds_women,ugds_black,npt4,tuitionfee_in,tuitionfee_out,avgfacsal,pftfac
925,Wilmington College,,OH,2,3,0,0.5116,0.1085,20681,25675,25675,5640,0.6
926,Wittenberg University,,OH,2,3,0,0.5444,0.0982,23431,39500,39500,7209,0.6821
927,The College of Wooster,,OH,2,3,0,0.5407,0.096,24806,50250,50250,8257,0.8361
928,Wright State University-Main Campus,,OH,1,3,0,0.519,0.1087,15530,9254,18398,9531,0.9655
929,Xavier University,,OH,2,3,0,0.5451,0.0888,31305,38530,38530,8853,0.5019
930,Youngstown State University,,OH,1,3,0,0.5197,0.0892,11595,8967,9327,8197,1
931,Bacone College,,OK,2,6,0,0.417,0.2288,20689,17700,17700,4192,1
932,Oklahoma Wesleyan University,,OK,2,6,0,0.5779,0.074,26279,27136,27136,5902,0.4054
933,Southern Nazarene University,,OK,2,6,0,0.5054,0.1344,17644,25234,25234,5429,0.2687
934,Cameron University,,OK,1,6,0,0.6183,0.1237,9571,6450,15870,6280,0.58
935,University of Central Oklahoma,,OK,1,6,0,0.5916,0.0935,16572,7489,18376,6781,1
936,East Central University,,OK,1,6,0,0.5963,0.0415,10000,6810,16020,5764,1
937,Randall University,,OK,2,6,0,0.4,0.1172,16852,15108,15108,4047,0.4524
938,Langston University,,OK,1,6,1,0.6262,0.5817,13770,6226,13586,5820,0.8293
939,Northeastern State University,,OK,1,6,0,0.6112,0.0404,9463,6650,14720,6612,0.7046
940,Northwestern Oklahoma State University,,OK,1,6,0,0.5919,0.0785,9408,7471,14558,6336,1
941,Oklahoma Christian University,,OK,2,6,0,0.5058,0.0723,19791,22760,22760,6901,0.9813
942,Oklahoma Panhandle State University,,OK,1,6,0,0.5063,0.0597,8329,7930,8674,4548,0.6506
943,Oklahoma State University-Main Campus,,OK,1,6,0,0.4935,0.0431,14878,9019,24539,9060,0.8769
944,Oklahoma Baptist University,,OK,2,6,0,0.6012,0.0592,18173,28258,28258,6928,0.7184
945,Oklahoma City University,,OK,2,6,0,0.6765,0.0574,25024,31026,31026,7108,0.6131
946,University of Oklahoma-Norman Campus,,OK,1,6,0,0.5026,0.047,20780,11538,26919,9806,0.8496
947,Oral Roberts University,,OK,2,6,0,0.598,0.1564,21557,27728,27728,7477,0.4653
948,Rogers State University,,OK,1,6,0,0.6047,0.0433,14188,7200,15540,5271,0.455
949,University of Science and Arts of Oklahoma,,OK,1,6,0,0.6769,0.0588,7931,7200,17550,5687,0.6282
950,Southeastern Oklahoma State University,,OK,1,6,0,0.5378,0.0541,8508,6750,15390,6815,1
951,Southwestern Christian University,,OK,2,6,0,0.4388,0.2068,12604,15080,15080,4701,0.3111
952,Southwestern Oklahoma State University,,OK,1,6,0,0.5992,0.0389,12115,7335,14235,6972,0.9954
953,University of Tulsa,,OK,2,6,0,0.4476,0.0588,22817,41509,41509,10564,0.7375
954,Concordia University-Portland,,OR,2,8,0,0.7248,0.0443,19870,31158,31158,6277,0.3359
955,Eastern Oregon University,,OR,1,8,0,0.5999,0.0216,15205,8679,20739,7251,0.6534
956,George Fox University,,OR,2,8,0,0.5837,0.0146,29119,36020,36020,7688,0.3452
957,Lewis & Clark College,,OR,2,8,0,0.6111,0.0273,35919,50934,50934,9738,0.5121
958,Linfield College-McMinnville Campus,,OR,2,8,0,0.6031,0.0216,27369,43302,43302,7058,0.9836
959,Northwest Christian University,,OR,2,8,0,0.6198,0.0486,19916,30050,30050,5429,0.9714
960,Oregon Institute of Technology,,OR,1,8,0,0.4497,0.0205,17083,10118,28668,7485,0.9036
961,Oregon State University,,OR,1,8,0,0.4643,0.0133,19969,11166,30141,9910,0.771
962,University of Oregon,,OR,1,8,0,0.5382,0.0228,16355,11898,35478,10385,0.835
963,Pacific University,,OR,2,8,0,0.6159,0.017,31450,44298,44298,8264,0.6338
964,Portland State University,,OR,1,8,0,0.5416,0.0369,13856,9105,27437,9650,0.5546
965,University of Portland,,OR,2,8,0,0.6023,0.0144,33959,45904,45904,8662,0.5484
966,Reed College,,OR,2,8,0,0.5378,0.0234,33495,56340,56340,10712,0.9771
967,Southern Oregon University,,OR,1,8,0,0.6094,0.0254,9707,9615,25545,8668,0.5307
968,Warner Pacific University,,OR,2,8,0,0.5372,0.1185,24566,18660,18660,6361,0.4853
969,Corban University,,OR,2,8,0,0.6062,0.0165,22411,33040,33040,6520,0.3835
970,Willamette University,,OR,2,8,0,0.5816,0.0197,29386,50279,50279,11070,0.7254
971,Western Oregon University,,OR,1,8,0,0.6204,0.0354,16308,10197,26421,6938,0.8519
972,Bryn Athyn College of the New Church,,PA,2,2,0,0.5272,0.1565,19048,22860,22860,7275,0.5185
973,Albright College,,PA,2,2,0,0.6009,0.2319,23124,45306,45306,6636,0.6564
974,Allegheny College,,PA,2,2,0,0.5522,0.0916,23927,47540,47540,7894,1
975,DeSales University,,PA,2,2,0,0.6374,0.0441,26971,37400,37400,7843,0.3701
976,Alvernia University,,PA,2,2,0,0.7036,0.1167,27362,34900,34900,7440,1
977,Arcadia University,,PA,2,2,0,0.6775,0.0874,24659,43580,43580,7910,0.3182
978,Bloomsburg University of Pennsylvania,,PA,1,2,0,0.5737,0.0711,19539,10958,22782,9472,0.8218
979,Bryn Mawr College,,PA,2,2,0,0.9993,0.0576,29334,52360,52360,10936,0.8462
980,Bucknell University,,PA,2,2,0,0.5096,0.0354,39294,56092,56092,11423,0.964
981,Cabrini University,,PA,2,2,0,0.6179,0.2158,26400,31920,31920,6897,0.3333
982,California University of Pennsylvania,,PA,1,2,0,0.54,0.1341,19068,11108,15726,10066,0.6568
983,Carlow University,,PA,2,2,0,0.8265,0.1735,19725,29454,29454,6838,1
984,Carnegie Mellon University,,PA,2,2,0,0.4885,0.041,32674,55465,55465,12165,0.9521
985,Cedar Crest College,,PA,2,2,0,0.8926,0.089,21239,39216,39216,7702,0.3909
986,Chatham University,,PA,2,2,0,0.7158,0.0633,23892,37611,37611,7801,1
987,Chestnut Hill College,,PA,2,2,0,0.6168,0.3209,25248,36180,36180,6549,1
988,Cheyney University of Pennsylvania,,PA,1,2,1,0.588,0.7897,15411,10533,15799,10452,0.6786
989,Clarion University of Pennsylvania,,PA,1,2,0,0.6695,0.0712,19836,11175,16054,9627,0.735
990,Delaware Valley University,,PA,2,2,0,0.5955,0.0934,28393,39440,39440,8377,0.3992
991,Dickinson College,,PA,2,2,0,0.5797,0.0476,31491,54661,54661,9338,0.8219
992,Drexel University,,PA,2,2,0,0.4829,0.0689,33631,53244,53244,11064,0.5443
993,Duquesne University,,PA,2,2,0,0.6357,0.0524,29622,38178,38178,9376,0.5098
994,East Stroudsburg University of Pennsylvania,,PA,1,2,0,0.5615,0.202,17022,11502,24184,9533,0.725
995,Eastern University,,PA,2,2,0,0.6768,0.1974,23529,32947,32947,6342,0.3011
996,Edinboro University of Pennsylvania,,PA,1,2,0,0.5769,0.0566,16604,10574,14622,9907,0.7881
997,Elizabethtown College,,PA,2,2,0,0.6149,0.0293,27017,46940,46940,8853,0.7283
998,Franklin and Marshall College,,PA,2,2,0,0.5496,0.0592,26479,56550,56550,9984,0.8961
999,Gannon University,,PA,2,2,0,0.588,0.0501,21526,32136,32136,7872,0.5707
1000,Geneva College,,PA,2,2,0,0.4727,0.0728,19782,27230,27230,6827,1
1001,Gettysburg College,,PA,2,2,0,0.524,0.0352,27803,54480,54480,9641,0.7395
1002,Gwynedd Mercy University,,PA,2,2,0,0.756,0.2177,23213,33600,33600,6791,0.1915
1003,Haverford College,,PA,2,2,0,0.5134,0.0713,28799,54838,54838,10158,0.892
1004,Holy Family University,,PA,2,2,0,0.7357,0.1382,14230,30346,30346,6999,0.1954
1005,Immaculata University,,PA,2,2,0,0.7339,0.1556,31337,27350,27350,4945,1
1006,Indiana University of Pennsylvania-Main Campus,,PA,1,2,0,0.5789,0.1223,21615,12979,18730,9883,0.6552
1007,Juniata College,,PA,2,2,0,0.5637,0.033,24345,45597,45597,8091,0.7439
1008,Keystone College,,PA,2,2,0,0.6042,0.0958,22493,26720,26720,6219,0.2819
1009,King's College,,PA,2,2,0,0.4656,0.0382,26746,37226,37226,8052,0.6281
1010,Kutztown University of Pennsylvania,,PA,1,2,0,0.5327,0.0774,22282,10802,22626,9399,0.8814
1011,La Roche University,,PA,2,2,0,0.5594,0.0943,19947,28564,28564,7188,0.3405
1012,La Salle University,,PA,2,2,0,0.619,0.1986,24590,30710,30710,9587,0.4258
1013,Lafayette College,,PA,2,2,0,0.5245,0.0531,29884,53630,53630,12104,0.8318
1014,Lancaster Bible College,,PA,2,2,0,0.5144,0.2464,21009,25270,25270,5790,0.3123
1015,Lebanon Valley College,,PA,2,2,0,0.5362,0.0273,27203,43650,43650,7638,0.4885
1016,Lehigh University,,PA,2,2,0,0.4588,0.0346,30832,52930,52930,13517,0.827
1017,Lincoln University,,PA,1,2,1,0.6626,0.8504,14180,11036,16952,8820,1
1018,Lock Haven University,,PA,1,2,0,0.5795,0.0841,19965,10878,20702,10227,0.895
1019,Lycoming College,,PA,2,2,0,0.527,0.13,19449,40315,40315,7681,0.7851
1020,Mansfield University of Pennsylvania,,PA,1,2,0,0.6063,0.1037,20234,12330,22030,9904,0.4476
1021,Marywood University,,PA,2,2,0,0.6746,0.0287,23367,34910,34910,7629,0.3899
1022,Mercyhurst University,,PA,2,2,0,0.5851,0.0442,24592,37170,37170,7548,0.6514
1023,Messiah College,,PA,2,2,0,0.6077,0.0243,26919,35160,35160,8613,0.5447
1024,Millersville University of Pennsylvania,,PA,1,2,0,0.5734,0.0875,21923,12226,22196,10005,0.6429
1025,Misericordia University,,PA,2,2,0,0.694,0.0305,24023,33240,33240,7481,1
1026,Moravian College,,PA,2,2,0,0.6089,0.0315,29680,43636,43636,8017,1
1027,Mount Aloysius College,,PA,2,2,0,0.7004,0.0277,21832,23110,23110,6787,0.372
1028,Muhlenberg College,,PA,2,2,0,0.6048,0.0429,30684,52595,52595,8995,0.5664
1029,Neumann University,,PA,2,2,0,0.667,0.2559,24043,31400,31400,6971,0.4025
1030,Pennsylvania State University-Main Campus,,PA,1,2,0,0.4687,0.0429,30996,18454,34858,11139,0.8226
1031,Peirce College,,PA,2,2,0,0.7143,0.6198,6296,15060,15060,7436,1
1032,University of Pennsylvania,,PA,2,2,0,0.5303,0.0757,25033,55584,55584,17887,0.7395
1033,Cairn University-Langhorne,,PA,2,2,0,0.5606,0.1082,19413,27279,27279,6031,0.4046
1034,University of Pittsburgh-Pittsburgh Campus,,PA,1,2,0,0.5223,0.0503,28758,19080,32052,10856,0.7559
1035,Point Park University,,PA,2,2,0,0.5959,0.1341,19174,31450,31450,8147,0.2264
1036,Robert Morris University,,PA,2,2,0,0.4438,0.0586,26027,30300,30300,11873,1
1037,Rosemont College,,PA,2,2,0,0.6287,0.4301,19635,19900,19900,5585,0.2482
1038,Saint Francis University,,PA,2,2,0,0.6559,0.0737,27221,36410,36410,7166,1
1039,Saint Joseph's University,,PA,2,2,0,0.5484,0.0607,33742,44974,44974,10548,1
1040,Saint Vincent College,,PA,2,2,0,0.4449,0.0629,21537,35462,35462,7793,0.9732
1041,University of Scranton,,PA,2,2,0,0.574,0.019,35313,44532,44532,10292,0.6619
1042,Seton Hill University,,PA,2,2,0,0.6397,0.0844,23733,35748,35748,7522,0.9279
1043,Shippensburg University of Pennsylvania,,PA,1,2,0,0.5134,0.1149,21822,12718,20760,10225,0.7567
1044,Slippery Rock University of Pennsylvania,,PA,1,2,0,0.5578,0.0469,19614,10757,14615,9566,0.8506
1045,Susquehanna University,,PA,2,2,0,0.5628,0.0706,25521,47290,47290,8104,0.5889
1046,Swarthmore College,,PA,2,2,0,0.5097,0.0764,21067,52588,52588,13212,0.8941
1047,Temple University,,PA,1,2,0,0.5352,0.1275,23536,16970,29066,11070,0.5429
1048,Thiel College,,PA,2,2,0,0.4176,0.1676,21556,31700,31700,6461,0.5977
1049,Thomas Jefferson University,,PA,2,2,0,0.7227,0.1502,25743,40651,40651,8243,0.183
1050,Ursinus College,,PA,2,2,0,0.5078,0.0804,29143,52050,52050,8893,0.7714
1051,University of Valley Forge,,PA,2,2,0,0.5079,0.1646,19612,21341,21341,5880,0.2551
1052,Villanova University,,PA,2,2,0,0.5354,0.0488,40134,53308,53308,11165,0.6688
1053,Washington & Jefferson College,,PA,2,2,0,0.4873,0.0524,28287,47964,47964,8128,0.75
1054,Waynesburg University,,PA,2,2,0,0.5726,0.0408,18931,24820,24820,6976,0.4019
1055,West Chester University of Pennsylvania,,PA,1,2,0,0.5908,0.1149,22101,10412,22236,9782,0.6992
1056,Westminster College,,PA,2,2,0,0.5294,0.0477,21198,36806,36806,6880,0.6554
1057,Widener University,,PA,2,2,0,0.5708,0.1281,31305,45948,45948,8652,0.3981
1058,Wilkes University,,PA,2,2,0,0.4686,0.0488,26563,36194,36194,9093,0.4234
1059,Wilson College,,PA,2,2,0,0.8221,0.0409,20077,24595,24595,6863,1
1060,York College of Pennsylvania,,PA,2,2,0,0.5412,0.0543,20741,20100,20100,8892,0.4133
1061,Brown University,,RI,2,1,0,0.5369,0.0644,31685,55466,55466,15579,0.8962
1062,Bryant University,,RI,2,1,0,0.3812,0.0346,38050,43973,43973,10543,0.5743
1063,Johnson & Wales University-Providence,,RI,2,1,0,0.5986,0.1321,26880,32441,32441,9544,1
1064,Providence College,,RI,2,1,0,0.5472,0.0385,38990,50528,50528,10636,0.6235
1065,Rhode Island College,,RI,1,1,0,0.694,0.1028,10523,8929,21692,8119,1
1066,University of Rhode Island,,RI,1,1,0,0.5634,0.0524,20334,14138,30862,9488,0.6672
1067,Roger Williams University,,RI,2,1,0,0.5116,0.0246,36142,34522,34522,12035,0.4071
1068,Salve Regina University,,RI,2,1,0,0.6703,0.0175,31816,40150,40150,8716,0.9313
1069,Allen University,,SC,2,5,1,0.4499,0.9585,14790,12940,12940,4864,0.8261
1070,Anderson University,,SC,2,5,0,0.6883,0.0492,21562,28000,28000,6568,1
1071,Charleston Southern University,,SC,2,5,0,0.6256,0.2059,17561,25540,25540,5984,0.6051
1072,Benedict College,,SC,2,5,1,0.5238,0.8744,24725,16600,16600,5978,0.6331
1073,Bob Jones University,,SC,2,5,0,0.5472,0.0199,12565,18150,18150,4546,0.9027
1074,Southern Wesleyan University,,SC,2,5,0,0.6073,0.2205,17188,25476,25476,5460,1
1075,College of Charleston,,SC,1,5,0,0.6444,0.0791,18783,12838,32020,8518,0.6314
1076,Citadel Military College of South Carolina,,SC,1,5,0,0.109,0.0871,17837,12516,34988,8646,0.6747
1077,Claflin University,,SC,2,5,1,0.6911,0.9256,19396,16854,16854,6896,0.5821
1078,Clemson University,,SC,1,5,0,0.4897,0.0648,18252,15374,37128,10218,0.9237
1079,Coker University,,SC,2,5,0,0.5713,0.3206,17979,29548,29548,5836,0.6239
1080,Columbia International University,,SC,2,5,0,0.5076,0.1844,17481,23690,23690,4732,0.8367
1081,Columbia College,,SC,2,5,0,0.7947,0.3745,16034,19500,19500,6036,0.4196
1082,Converse College,,SC,2,5,0,0.9922,0.1075,18841,18340,18340,6305,0.9881
1083,Erskine College,,SC,2,5,0,0.4406,0.1154,30264,36150,36150,4784,1
1084,Francis Marion University,,SC,1,5,0,0.6839,0.381,12528,11976,22488,7437,0.7314
1085,Furman University,,SC,2,5,0,0.5947,0.0692,27487,49532,49532,9643,0.8032
1086,Lander University,,SC,1,5,0,0.6846,0.265,15083,11700,21300,6207,0.5938
1087,Limestone College,,SC,2,5,0,0.5584,0.4482,24083,25025,25025,5301,1
1088,Morris College,,SC,2,5,1,0.5978,0.9492,16814,13886,13886,5276,0.7619
1089,Newberry College,,SC,2,5,0,0.4274,0.2739,21571,26424,26424,5738,1
1090,North Greenville University,,SC,2,5,0,0.5057,0.0746,20025,19750,19750,6226,0.8235
1091,Presbyterian College,,SC,2,5,0,0.5046,0.1501,18851,38660,38660,8018,1
1092,University of South Carolina Aiken,,SC,1,5,0,0.6525,0.265,14969,10760,21218,6920,0.55
1093,University of South Carolina Beaufort,,SC,1,5,0,0.6868,0.2113,16738,10730,21776,7351,0.5663
1094,University of South Carolina-Columbia,,SC,1,5,0,0.5331,0.0868,19219,12616,33298,10744,0.7183
1095,Coastal Carolina University,,SC,1,5,0,0.5337,0.1939,16188,11716,26828,7532,1
1096,South Carolina State University,,SC,1,5,1,0.499,0.9507,21467,11060,21750,7051,1
1097,University of South Carolina-Upstate,,SC,1,5,0,0.6587,0.3272,15506,11852,23520,6892,0.5096
1098,Voorhees College,,SC,2,5,1,0.5682,0.9552,18489,12630,12630,4866,0.814
1099,Winthrop University,,SC,1,5,0,0.6942,0.3023,17592,15730,29986,7577,0.6195
1100,Wofford College,,SC,2,5,0,0.5316,0.085,25374,43985,43985,8200,0.8324
1101,Augustana University,,SD,2,4,0,0.6267,0.0257,22891,33018,33018,6895,0.7796
1102,Black Hills State University,,SD,1,4,0,0.6305,0.0148,16073,8733,11778,6938,0.5708
1103,Dakota State University,,SD,1,4,0,0.3398,0.0307,17244,9276,12249,7906,0.7037
1104,Dakota Wesleyan University,,SD,2,4,0,0.5707,0.0202,22388,27640,27640,5872,0.3514
1105,Mount Marty College,,SD,2,4,0,0.5651,0.0291,19682,27276,27276,6723,0.4216
1106,Northern State University,,SD,1,4,0,0.561,0.0227,15934,8497,11470,7241,1
1107,South Dakota State University,,SD,1,4,0,0.5189,0.0192,19503,8764,12128,8255,0.8206
1108,University of Sioux Falls,,SD,2,4,0,0.6262,0.056,20989,18280,18280,6305,0.3659
1109,University of South Dakota,,SD,1,4,0,0.626,0.0344,18075,9061,12425,7895,0.6793
1110,Austin Peay State University,,TN,1,5,0,0.5837,0.2321,13018,8159,23399,8009,1
1111,Belmont University,,TN,2,5,0,0.6511,0.0467,35861,34310,34310,10088,0.4091
1112,Bethel University,,TN,2,5,0,0.5318,0.3659,15776,16552,16552,3256,1
1113,Bryan College-Dayton,,TN,2,5,0,0.5182,0.057,15741,26800,26800,5792,0.2697
1114,Carson-Newman University,,TN,2,5,0,0.5894,0.0873,18906,27900,27900,6103,0.5171
1115,Christian Brothers University,,TN,2,5,0,0.514,0.2573,10829,32820,32820,7011,0.9655
1116,Cumberland University,,TN,2,5,0,0.5613,0.1232,21948,22890,22890,5643,0.4837
1117,Lipscomb University,,TN,2,5,0,0.6129,0.0676,24334,32144,32144,7762,0.4983
1118,East Tennessee State University,,TN,1,5,0,0.574,0.0664,11206,8935,27199,7304,0.6082
1119,Fisk University,,TN,2,5,1,0.6985,0.8641,29114,21480,21480,5546,0.6667
1120,Welch College,,TN,2,5,0,0.5521,0.0417,21879,19012,19012,4025,0.4925
1121,Freed-Hardeman University,,TN,2,5,0,0.5614,0.0427,17010,21950,21950,6760,0.9612
1122,King University,,TN,2,5,0,0.6186,0.0578,21302,29714,29714,4960,0.4587
1123,Lane College,,TN,2,5,1,0.4805,0.9083,13385,11500,11500,5162,0.9079
1124,Le Moyne-Owen College,,TN,2,5,1,0.6912,0.9774,9239,11196,11196,4739,0.4792
1125,Lee University,,TN,2,5,0,0.617,0.0505,18485,17690,17690,7373,0.8936
1126,Lincoln Memorial University,,TN,2,5,0,0.7276,0.0613,15053,22010,22010,6577,0.4624
1127,Martin Methodist College,,TN,2,5,0,0.5985,0.1048,18723,24246,24246,5631,0.5952
1128,Maryville College,,TN,2,5,0,0.5506,0.1103,17524,34880,34880,6765,1
1129,University of Memphis,,TN,1,5,0,0.5875,0.3658,13048,9317,21029,8934,0.6754
1130,Middle Tennessee State University,,TN,1,5,0,0.5351,0.2003,12712,8858,27098,8410,0.7657
1131,Rhodes College,,TN,2,5,0,0.5582,0.0861,26077,47890,47890,8491,0.8282
1132,The University of the South,,TN,2,5,0,0.514,0.0466,29119,45120,45120,9533,0.867
1133,Southern Adventist University,,TN,2,5,0,0.5811,0.0968,25016,21950,21950,4782,1
1134,Tennessee Wesleyan University,,TN,2,5,0,0.6363,0.105,13097,24300,24300,4969,1
1135,The University of Tennessee-Chattanooga,,TN,1,5,0,0.5624,0.0995,14213,8664,24782,8558,0.677
1136,The University of Tennessee-Knoxville,,TN,1,5,0,0.5074,0.0616,19142,13006,31426,11076,0.8692
1137,The University of Tennessee-Martin,,TN,1,5,0,0.5887,0.1354,10335,9512,15552,7310,0.6477
1138,Tennessee State University,,TN,1,5,1,0.6226,0.7482,10427,8792,21512,7364,0.9533
1139,Tennessee Technological University,,TN,1,5,0,0.448,0.0382,16321,8731,24595,8176,1
1140,Trevecca Nazarene University,,TN,2,5,0,0.619,0.1261,18350,25598,25598,6840,1
1141,Tusculum University,,TN,2,5,0,0.5258,0.1517,16936,24860,24860,5035,0.6535
1142,Union University,,TN,2,5,0,0.6744,0.1693,27551,32610,32610,7715,0.5908
1143,Vanderbilt University,,TN,2,5,0,0.5132,0.108,20253,49816,49816,13877,0.8397
1144,Abilene Christian University,,TX,2,6,0,0.6027,0.0865,26766,34850,34850,7756,0.7865
1145,Angelo State University,,TX,1,6,0,0.5504,0.0748,12753,7436,17396,7296,0.7051
1146,Austin College,,TX,2,6,0,0.5106,0.1001,20895,39960,39960,7426,1
1147,Baylor University,,TX,2,6,0,0.5958,0.0593,32601,45542,45542,9968,0.7807
1148,Concordia University Texas,,TX,2,6,0,0.6608,0.1136,22858,31810,31810,7092,1
1149,Texas A & M University-Corpus Christi,,TX,1,6,0,0.5953,0.0522,15253,9055,19462,8252,0.7097
