"Title","Gross Domestic Product at market prices: CP: NSA £m"
"CDID","BKTL"
"Source dataset ID","PN2"
"PreUnit","£"
"Unit","m"
"Release date","15-02-2024"
"Next release","28 March 2024"
"Important notes","Following a quality review it has been identified that the methodology used to estimate elements of purchased software within gross fixed capital formation (GFCF) has led to some double counting from 1997 onwards. When this issue is amended in The Blue Book 2017 it will reduce the level of GFCF across the period by around 1.1% per year. The average impact on quarter-on-quarter GFCF growth is negative 0.02% and the average impact on quarter-on-quarter GDP growth is 0.00%."
"2003 Q1","306551"
"2003 Q2","307243"
"2003 Q3","318175"
"2003 Q4","326365"
"2004 Q1","320818"
"2004 Q2","324533"
"2004 Q3","335883"
"2004 Q4","341403"
"2005 Q1","340334"
"2005 Q2","344185"
"2005 Q3","351412"
"2005 Q4","362818"
"2006 Q1","360002"
"2006 Q2","361236"
"2006 Q3","371444"
"2006 Q4","379356"
"2007 Q1","374219"
"2007 Q2","378223"
"2007 Q3","392022"
"2007 Q4","400173"
"2008 Q1","395404"
"2008 Q2","395730"
"2008 Q3","401078"
"2008 Q4","401388"
"2009 Q1","384783"
"2009 Q2","378406"
"2009 Q3","391105"
"2009 Q4","394508"
"2010 Q1","393009"
"2010 Q2","393827"
"2010 Q3","406887"
"2010 Q4","414830"
"2011 Q1","412279"
"2011 Q2","404790"
"2011 Q3","417118"
"2011 Q4","428403"
"2012 Q1","422933"
"2012 Q2","417559"
"2012 Q3","429335"
"2012 Q4","443888"
"2013 Q1","434557"
"2013 Q2","436800"
"2013 Q3","448241"
"2013 Q4","461763"
"2014 Q1","457049"
"2014 Q2","458359"
"2014 Q3","467238"
"2014 Q4","479868"
"2015 Q1","469939"
"2015 Q2","472238"
"2015 Q3","480452"
"2015 Q4","493822"
"2016 Q1","485588"
"2016 Q2","490520"
"2016 Q3","497047"
"2016 Q4","518490"
"2017 Q1","507548"
"2017 Q2","510615"
"2017 Q3","520711"
"2017 Q4","543608"
"2018 Q1","523874"
"2018 Q2","527774"
"2018 Q3","540619"
"2018 Q4","560037"
"2019 Q1","545247"
"2019 Q2","550342"
"2019 Q3","557473"
"2019 Q4","580859"
"2020 Q1","555835"
"2020 Q2","470505"
"2020 Q3","523268"
"2020 Q4","554680"
"2021 Q1","536631"
"2021 Q2","564886"
"2021 Q3","574173"
"2021 Q4","608389"
"2022 Q1","614472"
"2022 Q2","613002"
"2022 Q3","628962"
"2022 Q4","649545"
"2023 Q1","662371"
"2023 Q2","667844"
"2023 Q3","676297"
"2023 Q4","683462"
